star,xslid,simbad,filename,ra,dec,teff,e_teff,logg,e_logg,feh,e_feh,comment
HD 207222,X0732,HD 207222,xsl_spectrum_X0732_merged.fits,326.7344167,21.2974167,9489.0,191.0,4.570000171661377,0.20999999344348907,-0.36000001430511475,0.09000000357627869,
HD 207795,X0486,HD 207795,xsl_spectrum_X0486_merged.fits,327.9142917,0.8493889,5302.0,69.0,4.570000171661377,0.14000000059604645,0.12999999523162842,0.05999999865889549,
HD 209290,X0201,HD 209290,xsl_spectrum_X0201_merged.fits,330.5428333,1.4002222,3731.0,59.0,4.730000019073486,0.14000000059604645,-0.15000000596046448,0.07000000029802322,
HD 209290,X0277,HD 209290,xsl_spectrum_X0277_merged.fits,330.5428333,1.4002222,3731.0,59.0,4.730000019073486,0.14000000059604645,-0.15000000596046448,0.07000000029802322,
DG Peg,X0492,DG Peg,xsl_spectrum_X0492_merged.fits,330.8913333,14.0086667,3115.0,52.0,0.7699999809265137,0.20000000298023224,-0.5099999904632568,0.18000000715255737,
HD 210295,X0441,HD 210295,xsl_spectrum_X0441_merged.fits,332.4227083,-13.6053889,4823.0,49.0,2.1500000953674316,0.15000000596046448,-1.3300000429153442,0.07000000029802322,
BD+17 4708,X0743,BD+17 4708,xsl_spectrum_X0743_merged_scl.fits,332.88075,18.0928056,6186.0,139.0,4.150000095367432,0.14000000059604645,-1.4800000190734863,0.09000000357627869,
BD+17 4708,X0745,BD+17 4708,xsl_spectrum_X0745_merged_ncl.fits,332.88075,18.0928056,6186.0,139.0,4.150000095367432,0.14000000059604645,-1.4800000190734863,0.09000000357627869,
BD+17 4708,X0774,BD+17 4708,xsl_spectrum_X0774_merged_scl.fits,332.88075,18.0928056,6186.0,139.0,4.150000095367432,0.14000000059604645,-1.4800000190734863,0.09000000357627869,
HD 211075,X0447,HD 211075,xsl_spectrum_X0447_merged.fits,333.5835,18.0203611,4349.0,30.0,1.9900000095367432,0.14000000059604645,-0.38999998569488525,0.05999999865889549,
G018-039,X0445,G018-039,xsl_spectrum_X0445_merged.fits,334.652125,8.4458056,6095.0,137.0,4.150000095367432,0.14000000059604645,-1.4199999570846558,0.09000000357627869,
HD 212516,X0495,HD 212516,xsl_spectrum_X0495_merged.fits,336.1435,16.1501111,3692.0,38.0,1.340000033378601,0.14000000059604645,-0.3700000047683716,0.09000000357627869,
2MASS J22244381-0158521,X0215,2MASS J22244381-0158521,xsl_spectrum_X0215_merged_ncl_ncge.fits,336.1825833,-1.9811389,nan,nan,nan,nan,nan,nan,
HD 213042,X0430,HD 213042,xsl_spectrum_X0430_merged.fits,337.3135,-30.0183889,4475.0,47.0,4.349999904632568,0.14000000059604645,0.09000000357627869,0.05000000074505806,
HD 214080,X0443,HD 214080,xsl_spectrum_X0443_merged.fits,339.0268333,-16.3879722,20100.0,547.0,3.049999952316284,0.23999999463558197,-0.009999999776482582,0.07999999821186066,
GJ 866,X0202,GJ 866,xsl_spectrum_X0202_merged_ncl.fits,339.6405417,-15.29925,2827.0,45.0,5.090000152587891,0.14000000059604645,-0.029999999329447746,0.07000000029802322,
HD 215578,X0787,HD 215578,xsl_spectrum_X0787_merged.fits,341.493375,19.25025,5006.0,43.0,2.9700000286102295,0.14000000059604645,0.1599999964237213,0.05999999865889549,
HD 215578,X0788,HD 215578,xsl_spectrum_X0788_merged.fits,341.493375,19.25025,5006.0,43.0,2.9700000286102295,0.14000000059604645,0.1599999964237213,0.05999999865889549,
