sample,star,sptype,teff,ra,dec,ebv_sfd98,ebv_sf11,ebv_phot,ebv_fitted,fitted_src,dist_pc
NGSL,HD194453,A0III,10241,306.355957,6.641799,0.1042,0.0896,-0.01,,,196.8
NGSL,HD040573,B9.5V,10200,89.973335,3.99099,0.5465,0.47,0.06,,,189.5
NGSL,HD147550,B9V,10074,245.662071,-2.079885,0.1521,0.1308,0.125,,,140.8
NGSL,HD128801,B9,10123,219.700374,7.911084,0.0272,0.0234,0.03,0.026,MILES,317.4
NGSL,HD143459,A0V,9878,240.198448,-8.411377,0.2021,0.1738,0.04,0.106,MILES,142.2
UVES-POP,HD162393,,9955,268.08657,-34.97495,0.4574,0.3934,,0.065,UVES-POP,276.2
UVES-POP,HD162678,,9908,268.43907,-34.78654,0.7391,0.6356,,0.0768,UVES-POP,283.8
UVES-POP,HD162817,,10153,268.613,-34.46672,0.6356,0.5466,,0.1023,UVES-POP,282.7
UVES-POP,HD188294,,11016,298.65844,-8.23675,0.3257,0.2801,,0.0398,UVES-POP,137.4
