star,grating,family,sampling,beta,box,cont_rms,core_mean,core_peak,core_rms,extra_fwhm,frac2,fwhm,fwhm1,fwhm2,kernel_fwhm_A,n_core,n_par,n_pix,rms,shift_A,wing_10A,wing_20A,wing_4px
HD194453,G750L,stis,rebin,,,1.0183,5.19868,5.19868,5.19868,,,,,,8.0898,1,0,479,1.0446,-0.159,0.02536,0.0,0.0
HD194453,G750L,stis_gauss,rebin,,,0.9159,-1.64433,-1.64433,1.64433,9.5314,,,,,13.3566,1,1,479,0.91803,-0.2092,0.08929,0.00071,0.00096
HD194453,G750L,stis_tophat,rebin,,13.1716,0.92351,-1.59756,-1.59756,1.59756,,,,,,14.3876,1,1,479,0.92543,-0.2117,0.07682,6e-05,0.00012
HD194453,G750L,stis05,rebin,,,0.90746,1.60929,1.60929,1.60929,,,,,,8.0945,1,0,479,0.90948,-0.193,0.09263,0.01274,0.01404
HD194453,G750L,stis2,rebin,,,0.89757,-1.09858,-1.09858,1.09858,,,,,,8.0945,1,0,479,0.89804,-0.2095,0.13861,0.06272,0.06398
HD194453,G750L,stis2_gauss,rebin,,,0.89757,-1.09842,-1.09842,1.09842,0.0509,,,,,8.0951,1,1,479,0.89804,-0.2093,0.13861,0.06272,0.06398
HD194453,G750L,stis2_tophat,rebin,,0.0506,0.89757,-1.09849,-1.09849,1.09849,,,,,,8.0946,1,1,479,0.89804,-0.2094,0.13861,0.06272,0.06398
HD194453,G750L,gauss,rebin,,,0.91775,-1.76283,-1.76283,1.76283,,,13.7727,,,13.7729,1,1,479,0.92032,-0.169,0.08731,0.00063,0.00084
HD194453,G750L,moffat,rebin,1.4769,,0.88435,-0.39809,-0.39809,0.39809,,,8.376,,,8.3761,1,2,479,0.88361,-0.1434,0.12348,0.03474,0.03644
HD194453,G750L,gauss2,rebin,,,0.88377,-0.32495,-0.32495,0.32495,,0.2833,,8.5123,30.0098,9.1252,1,3,479,0.88298,-0.1372,0.12665,0.03303,0.03556
HD194453,G750L,gauss_tophat,rebin,,0.0616,0.91775,-1.76254,-1.76254,1.76254,,,13.7723,,,13.7726,1,2,479,0.92032,-0.1691,0.08731,0.00063,0.00084
HD194453,G750L,stis,interp,,,1.04456,6.60905,6.60905,6.60905,,,,,,8.0898,1,0,479,1.08629,-0.1615,0.02536,0.0,0.0
HD194453,G750L,stis_gauss,interp,,,0.91584,-1.63986,-1.63986,1.63986,10.094,,,,,13.8029,1,1,479,0.91795,-0.2087,0.09805,0.00101,0.00134
HD194453,G750L,stis_tophat,interp,,13.8833,0.92585,-1.6529,-1.6529,1.6529,,,,,,14.9506,1,1,479,0.92797,-0.2133,0.08336,0.0001,0.00017
HD194453,G750L,stis05,interp,,,0.91791,2.78959,2.78959,2.78959,,,,,,8.0945,1,0,479,0.92576,-0.1905,0.09263,0.01274,0.01404
HD194453,G750L,stis2,interp,,,0.89864,-0.04085,-0.04085,0.04085,,,,,,8.0945,1,0,479,0.8977,-0.2055,0.13861,0.06272,0.06398
HD194453,G750L,stis2_gauss,interp,,,0.89773,-0.506,-0.506,0.506,2.1963,,,,,8.5065,1,1,479,0.89709,-0.2064,0.14053,0.06263,0.06391
HD194453,G750L,stis2_tophat,interp,,3.2512,0.8977,-0.5171,-0.5171,0.5171,,,,,,8.5271,1,1,479,0.89707,-0.2064,0.14055,0.06261,0.0639
HD194453,G750L,gauss,interp,,,0.91768,-1.75922,-1.75922,1.75922,,,14.1676,,,14.1678,1,1,479,0.92024,-0.1694,0.09649,0.00089,0.00117
HD194453,G750L,moffat,interp,1.5656,,0.88413,-0.29775,-0.29775,0.29775,,,9.1142,,,9.1143,1,2,479,0.88331,-0.1445,0.12981,0.03426,0.03603
HD194453,G750L,gauss2,interp,,,0.88376,-0.32044,-0.32044,0.32044,,0.2822,,9.1606,30.2352,9.8476,1,3,479,0.88296,-0.1375,0.13035,0.03367,0.03622
HD194453,G750L,gauss_tophat,interp,,0.0557,0.91768,-1.75947,-1.75947,1.75947,,,14.1678,,,14.168,1,2,479,0.92024,-0.1693,0.0965,0.00089,0.00117
HD167946,G430L,stis,rebin,,,0.99987,4.66272,11.00156,5.65456,,,,,,4.0404,37,0,674,1.6432,0.6548,0.0,0.0,0.0
HD167946,G430L,stis_gauss,rebin,,,1.00563,0.76646,6.09062,2.46417,3.954,,,,,6.0308,37,1,674,1.13539,0.6447,0.00035,0.0,8e-05
HD167946,G430L,stis_tophat,rebin,,5.618,1.01011,0.90255,6.34851,2.55301,,,,,,6.4442,37,1,674,1.14984,0.6446,9e-05,0.0,1e-05
HD167946,G430L,stis05,rebin,,,0.9494,-0.11115,5.60102,2.09391,,,,,,4.0432,37,0,674,1.04526,0.6248,0.02556,0.0,0.01794
HD167946,G430L,stis2,rebin,,,1.23595,-4.90708,-13.25088,6.59737,,,,,,4.0453,37,0,674,1.95783,0.6273,0.08753,0.04046,0.08038
HD167946,G430L,stis2_gauss,rebin,,,1.23595,-4.90746,-13.25044,6.59766,0.05,,,,,4.0462,37,1,674,1.95788,0.6274,0.08753,0.04046,0.08038
HD167946,G430L,stis2_tophat,rebin,,0.05,1.23595,-4.90705,-13.25111,6.59737,,,,,,4.0453,37,1,674,1.95783,0.6272,0.08753,0.04046,0.08038
HD167946,G430L,gauss,rebin,,,1.01172,0.77901,6.33914,2.62244,,,6.2071,,,6.2072,37,1,674,1.15971,0.682,0.00015,0.0,3e-05
HD167946,G430L,moffat,rebin,1.476,,0.91286,0.22355,6.4884,2.03096,,,3.5105,,,3.5106,37,2,674,1.00698,0.6882,0.02639,0.00666,0.02207
HD167946,G430L,gauss2,rebin,,,0.90148,0.31373,4.93754,1.96632,,0.0421,,5.3255,97.521,5.3348,37,3,674,0.99011,0.6919,0.03191,0.0243,0.03113
HD167946,G430L,gauss_tophat,rebin,,0.0602,1.01173,0.77893,6.33987,2.62235,,,6.2069,,,6.2072,37,2,674,1.15971,0.6821,0.00015,0.0,3e-05
HD167946,G430L,stis,interp,,,1.01292,5.72303,13.46942,6.96613,,,,,,4.0404,37,0,674,1.90621,0.6548,0.0,0.0,0.0
HD167946,G430L,stis_gauss,interp,,,1.00534,0.76595,6.08378,2.46103,4.3751,,,,,6.3571,37,1,674,1.13478,0.6448,0.00061,0.0,0.00016
HD167946,G430L,stis_tophat,interp,,6.1824,1.01286,0.95197,6.48536,2.60426,,,,,,6.8722,37,1,674,1.15839,0.6444,0.00015,0.0,1e-05
HD167946,G430L,stis05,interp,,,0.94095,0.69923,7.03268,2.26607,,,,,,4.0432,37,0,674,1.05767,0.6263,0.02556,0.0,0.01794
HD167946,G430L,stis2,interp,,,1.23142,-4.25624,-12.44154,5.97262,,,,,,4.0453,37,0,674,1.84158,0.6288,0.08753,0.04046,0.08038
HD167946,G430L,stis2_gauss,interp,,,1.23143,-4.25638,-12.44312,5.97287,0.05,,,,,4.0462,37,1,674,1.84163,0.6286,0.08753,0.04046,0.08038
HD167946,G430L,stis2_tophat,interp,,0.05,1.23141,-4.25643,-12.43999,5.97265,,,,,,4.0453,37,1,674,1.84158,0.629,0.08753,0.04046,0.08038
HD167946,G430L,gauss,interp,,,1.01139,0.77882,6.3329,2.61992,,,6.4834,,,6.4835,37,1,674,1.15912,0.682,0.00028,0.0,7e-05
HD167946,G430L,moffat,interp,1.625,,0.91764,0.21,6.5998,2.05523,,,4.0569,,,4.0571,37,2,674,1.01376,0.6864,0.02491,0.0053,0.02037
HD167946,G430L,gauss2,interp,,,0.90402,0.29077,4.73414,1.95731,,0.1599,,5.7058,766.4954,5.7117,37,3,674,0.99131,0.6925,0.03117,0.02665,0.03071
HD167946,G430L,gauss_tophat,interp,,0.0602,1.0114,0.77894,6.33358,2.61986,,,6.4832,,,6.4835,37,2,674,1.15912,0.682,0.00028,0.0,7e-05
HD167946,G750L,stis,rebin,,,0.92584,1.63402,3.9154,2.8062,,,,,,8.0898,2,0,478,0.94156,-0.8235,0.02536,0.0,0.0
HD167946,G750L,stis_gauss,rebin,,,0.84458,-2.53058,-2.83033,2.54827,8.9543,,,,,12.9035,2,1,478,0.85878,-0.9209,0.0809,0.00048,0.00066
HD167946,G750L,stis_tophat,rebin,,12.3086,0.85301,-2.30115,-2.48903,2.3088,,,,,,13.7225,2,1,478,0.86423,-0.9202,0.06964,4e-05,7e-05
HD167946,G750L,stis05,rebin,,,0.8348,-1.23862,-2.8859,2.061,,,,,,8.0945,2,0,478,0.84365,-0.877,0.09263,0.01274,0.01404
HD167946,G750L,stis2,rebin,,,0.82213,-3.72707,-5.04071,3.9518,,,,,,8.0945,2,0,478,0.85931,-0.898,0.13861,0.06272,0.06398
HD167946,G750L,stis2_gauss,rebin,,,0.82213,-3.72722,-5.04052,3.95183,0.0917,,,,,8.0972,2,1,478,0.85931,-0.898,0.13861,0.06271,0.06397
HD167946,G750L,stis2_tophat,rebin,,0.1495,0.82212,-3.72746,-5.04104,3.95214,,,,,,8.0979,2,1,478,0.85931,-0.8982,0.13861,0.06271,0.06397
HD167946,G750L,gauss,rebin,,,0.84622,-2.58447,-2.793,2.59287,,,13.3796,,,13.3797,2,1,478,0.86095,-0.8822,0.07841,0.00043,0.00059
HD167946,G750L,moffat,rebin,1.5927,,0.81299,-2.47244,-3.73414,2.77576,,,8.5433,,,8.5434,2,2,478,0.83092,-0.8317,0.11319,0.02852,0.03004
HD167946,G750L,gauss2,rebin,,,0.80946,-2.39295,-3.71855,2.73558,,0.2667,,8.3725,30.3278,8.9162,2,3,478,0.82692,-0.8189,0.1203,0.03213,0.03455
HD167946,G750L,gauss_tophat,rebin,,0.1423,0.84622,-2.58472,-2.79312,2.59311,,,13.3795,,,13.38,2,2,478,0.86095,-0.8822,0.07842,0.00043,0.00059
HD167946,G750L,stis,interp,,,0.94486,2.42545,5.32983,3.78395,,,,,,8.0898,2,0,478,0.97413,-0.804,0.02536,0.0,0.0
HD167946,G750L,stis_gauss,interp,,,0.84455,-2.5263,-2.8278,2.54423,9.5497,,,,,13.3711,2,1,478,0.8587,-0.9195,0.08957,0.00072,0.00097
HD167946,G750L,stis_tophat,interp,,13.0631,0.85554,-2.27004,-2.37939,2.27267,,,,,,14.303,2,1,478,0.86632,-0.9199,0.07588,6e-05,0.00011
HD167946,G750L,stis05,interp,,,0.84409,-0.58691,-2.77224,2.26277,,,,,,8.0945,2,0,478,0.85494,-0.858,0.09263,0.01274,0.01404
HD167946,G750L,stis2,interp,,,0.82543,-3.14806,-4.94938,3.62699,,,,,,8.0945,2,0,478,0.85647,-0.8815,0.13861,0.06272,0.06398
HD167946,G750L,stis2_gauss,interp,,,0.82519,-3.17673,-4.95098,3.63862,0.7526,,,,,8.1461,2,1,478,0.85643,-0.8823,0.13882,0.06268,0.06394
HD167946,G750L,stis2_tophat,interp,,1.1503,0.82517,-3.17889,-4.95099,3.63946,,,,,,8.1497,2,1,478,0.85643,-0.8823,0.13883,0.06268,0.06394
HD167946,G750L,gauss,interp,,,0.84616,-2.5837,-2.7944,2.59228,,,13.7866,,,13.7868,2,1,478,0.86087,-0.8824,0.08763,0.00064,0.00085
HD167946,G750L,moffat,interp,1.6942,,0.8122,-2.46937,-3.80773,2.80873,,,9.2856,,,9.2856,2,2,478,0.83061,-0.8318,0.11989,0.02816,0.02976
HD167946,G750L,gauss2,interp,,,0.80947,-2.39244,-3.71942,2.73581,,0.265,,9.0398,30.5827,9.6512,2,3,478,0.82693,-0.8181,0.12371,0.03275,0.03518
HD167946,G750L,gauss_tophat,interp,,0.0609,0.84616,-2.58347,-2.7943,2.59206,,,13.7863,,,13.7865,2,2,478,0.86087,-0.8824,0.08763,0.00064,0.00085
HD074721,G430L,stis,rebin,,,1.21933,4.735,13.08076,6.10241,,,,,,4.0404,39,0,674,1.88561,0.4848,0.0,0.0,0.0
HD074721,G430L,stis_gauss,rebin,,,1.22019,0.88913,7.38442,3.16741,3.6851,,,,,5.8265,39,1,674,1.40827,0.4902,0.00024,0.0,5e-05
HD074721,G430L,stis_tophat,rebin,,5.1833,1.22264,1.10193,7.56046,3.29378,,,,,,6.1271,39,1,674,1.42692,0.4899,6e-05,0.0,0.0
HD074721,G430L,stis05,rebin,,,1.17189,-0.39209,7.28395,2.15098,,,,,,4.0432,39,0,674,1.24963,0.4685,0.02556,0.0,0.01794
HD074721,G430L,stis2,rebin,,,1.38939,-5.32447,-12.92143,6.52622,,,,,,4.0453,39,0,674,2.06959,0.4743,0.08753,0.04046,0.08038
HD074721,G430L,stis2_gauss,rebin,,,1.38938,-5.32478,-12.92217,6.52655,0.05,,,,,4.0462,39,1,674,2.06965,0.4743,0.08753,0.04046,0.08038
HD074721,G430L,stis2_tophat,rebin,,0.05,1.38938,-5.32451,-12.92112,6.52622,,,,,,4.0453,39,1,674,2.06959,0.4744,0.08753,0.04046,0.08038
HD074721,G430L,gauss,rebin,,,1.2271,0.91503,8.40651,3.44008,,,6.0309,,,6.031,39,1,674,1.45031,0.5282,9e-05,0.0,2e-05
HD074721,G430L,moffat,rebin,1.4275,,1.15056,-0.21213,8.10296,2.0621,,,3.4364,,,3.4367,39,2,674,1.22198,0.5252,0.02876,0.00768,0.02423
HD074721,G430L,gauss2,rebin,,,1.15964,0.07528,7.55989,1.93522,,0.0743,,4.8504,36.6929,4.8868,39,3,674,1.21805,0.5296,0.03873,0.01481,0.03577
HD074721,G430L,gauss_tophat,rebin,,0.1545,1.2271,0.91546,8.40721,3.4401,,,6.0299,,,6.0309,39,2,674,1.45031,0.5282,9e-05,0.0,2e-05
HD074721,G430L,stis,interp,,,1.23206,5.95814,15.09168,7.68143,,,,,,4.0404,39,0,674,2.20099,0.4783,0.0,0.0,0.0
HD074721,G430L,stis_gauss,interp,,,1.2199,0.88911,7.38935,3.16087,4.1337,,,,,6.1692,39,1,674,1.40718,0.4896,0.00045,0.0,0.00011
HD074721,G430L,stis_tophat,interp,,5.7693,1.22409,1.19764,7.60618,3.37768,,,,,,6.5573,39,1,674,1.43939,0.4896,0.0001,0.0,1e-05
HD074721,G430L,stis05,interp,,,1.17246,0.5275,8.81005,2.45041,,,,,,4.0432,39,0,674,1.28163,0.4638,0.02556,0.0,0.01794
HD074721,G430L,stis2,interp,,,1.39695,-4.59169,-11.05489,5.79169,,,,,,4.0453,39,0,674,1.94409,0.4713,0.08753,0.04046,0.08038
HD074721,G430L,stis2_gauss,interp,,,1.39695,-4.59201,-11.05598,5.79199,0.05,,,,,4.0462,39,1,674,1.94414,0.4712,0.08753,0.04046,0.08038
HD074721,G430L,stis2_tophat,interp,,0.05,1.39698,-4.5913,-11.05883,5.79159,,,,,,4.0453,39,1,674,1.9441,0.4701,0.08753,0.04046,0.08038
HD074721,G430L,gauss,interp,,,1.22676,0.91563,8.41292,3.43449,,,6.3149,,,6.315,39,1,674,1.44927,0.528,0.00019,0.0,4e-05
HD074721,G430L,moffat,interp,1.5731,,1.15311,-0.23791,8.12118,2.1153,,,3.9984,,,3.9984,39,2,674,1.22948,0.5224,0.02705,0.00612,0.02231
HD074721,G430L,gauss2,interp,,,1.15936,0.07293,7.55857,1.93425,,0.0738,,5.2076,36.982,5.2487,39,3,674,1.21771,0.5295,0.03868,0.01496,0.03575
HD074721,G430L,gauss_tophat,interp,,0.1453,1.22677,0.91472,8.41126,3.43444,,,6.3144,,,6.3153,39,2,674,1.44927,0.528,0.00019,0.0,4e-05
HD074721,G750L,stis,rebin,,,1.51462,3.88692,5.79094,4.32821,,,,,,8.0898,2,0,478,1.53716,-1.0025,0.02536,0.0,0.0
HD074721,G750L,stis_gauss,rebin,,,1.42303,-1.17519,-1.38895,1.19447,9.3786,,,,,13.2362,2,1,478,1.42215,-1.0073,0.08701,0.00064,0.00087
HD074721,G750L,stis_tophat,rebin,,12.8787,1.4303,-0.94008,-1.30964,1.01011,,,,,,14.1597,2,1,478,1.4288,-1.0019,0.0743,5e-05,0.0001
HD074721,G750L,stis05,rebin,,,1.41342,0.77346,2.09761,1.5335,,,,,,8.0945,2,0,478,1.41395,-1.0325,0.09263,0.01274,0.01404
HD074721,G750L,stis2,rebin,,,1.36674,-1.78149,-2.82673,2.06549,,,,,,8.0945,2,0,478,1.3704,-1.0505,0.13861,0.06272,0.06398
HD074721,G750L,stis2_gauss,rebin,,,1.36674,-1.78166,-2.82707,2.06572,0.0507,,,,,8.0951,2,1,478,1.3704,-1.0506,0.13861,0.06272,0.06398
HD074721,G750L,stis2_tophat,rebin,,0.0505,1.36673,-1.78217,-2.8287,2.06672,,,,,,8.0946,2,1,478,1.3704,-1.0512,0.13861,0.06272,0.06398
HD074721,G750L,gauss,rebin,,,1.42514,-1.23165,-1.52655,1.26647,,,13.6577,,,13.6579,2,1,478,1.42451,-0.9643,0.08468,0.00056,0.00076
HD074721,G750L,moffat,rebin,1.2374,,1.44242,-1.15062,-2.17388,1.5398,,,7.6134,,,7.6135,2,2,478,1.44285,-0.0008,0.14492,0.05106,0.05311
HD074721,G750L,gauss2,rebin,,,1.36186,-2.08743,-2.4229,2.11422,,0.9,,10.8835,12536.5341,10.9451,2,3,478,1.36587,-0.9871,0.11277,0.07309,0.07367
HD074721,G750L,gauss_tophat,rebin,,0.0661,1.42514,-1.23204,-1.52676,1.2668,,,13.6578,,,13.6581,2,2,478,1.42451,-0.9645,0.08469,0.00056,0.00076
HD074721,G750L,stis,interp,,,1.54245,4.78537,7.37156,5.4395,,,,,,8.0898,2,0,478,1.57892,-0.9965,0.02536,0.0,0.0
HD074721,G750L,stis_gauss,interp,,,1.42296,-1.17309,-1.38524,1.19212,9.9509,,,,,13.689,2,1,478,1.42207,-1.0067,0.09577,0.00093,0.00124
HD074721,G750L,stis_tophat,interp,,13.585,1.43264,-0.90899,-1.36575,1.0173,,,,,,14.7131,2,1,478,1.43116,-0.9988,0.08055,8e-05,0.00015
HD074721,G750L,stis05,interp,,,1.42462,1.51084,3.43328,2.44508,,,,,,8.0945,2,0,478,1.4304,-1.0315,0.09263,0.01274,0.01404
HD074721,G750L,stis2,interp,,,1.37029,-1.12185,-2.70658,1.94162,,,,,,8.0945,2,0,478,1.37318,-1.0495,0.13861,0.06272,0.06398
HD074721,G750L,stis2_gauss,interp,,,1.367,-1.74523,-2.83013,2.05496,3.2678,,,,,8.9892,2,1,478,1.3706,-1.0502,0.14296,0.06261,0.06392
HD074721,G750L,stis2_tophat,interp,,4.785,1.36704,-1.74706,-2.81131,2.04569,,,,,,9.0534,2,1,478,1.37058,-1.0501,0.14287,0.06258,0.0639
HD074721,G750L,gauss,interp,,,1.42507,-1.23093,-1.52322,1.26516,,,14.0569,,,14.0571,2,1,478,1.42444,-0.9651,0.0939,0.00081,0.00107
HD074721,G750L,moffat,interp,1.2962,,1.37347,-1.48238,-2.7736,1.96588,,,8.1847,,,8.1848,2,2,478,1.37648,-0.9864,0.14755,0.04952,0.0516
HD074721,G750L,gauss2,interp,,,1.36192,-2.08408,-2.42261,2.1114,,0.6318,,11.3854,2390.6234,11.4527,2,3,478,1.36592,-0.9871,0.11999,0.073,0.07359
HD074721,G750L,gauss_tophat,interp,,0.0595,1.42507,-1.23095,-1.52337,1.26521,,,14.0569,,,14.0571,2,2,478,1.42444,-0.9651,0.0939,0.00081,0.00107
HD174240,G430L,stis,rebin,,,1.30968,5.43881,14.43528,6.57668,,,,,,4.0404,34,0,674,1.95208,0.4548,0.0,0.0,0.0
HD174240,G430L,stis_gauss,rebin,,,1.30853,0.55123,7.65443,2.58871,4.115,,,,,6.1547,34,1,674,1.4014,0.4569,0.00044,0.0,0.0001
HD174240,G430L,stis_tophat,rebin,,5.803,1.31746,0.73804,7.83386,2.70602,,,,,,6.5827,34,1,674,1.4204,0.457,0.00011,0.0,1e-05
HD174240,G430L,stis05,rebin,,,1.22051,0.26456,7.8875,2.00568,,,,,,4.0432,34,0,674,1.27178,0.4345,0.02556,0.0,0.01794
HD174240,G430L,stis2,rebin,,,1.45399,-4.72295,-12.33044,6.19532,,,,,,4.0453,34,0,674,1.98586,0.4375,0.08753,0.04046,0.08038
HD174240,G430L,stis2_gauss,rebin,,,1.454,-4.72314,-12.33068,6.19561,0.05,,,,,4.0462,34,1,674,1.98591,0.4374,0.08753,0.04046,0.08038
HD174240,G430L,stis2_tophat,rebin,,0.05,1.45389,-4.72537,-12.33753,6.19585,,,,,,4.0453,34,1,674,1.98587,0.4401,0.08753,0.04046,0.08038
HD174240,G430L,gauss,rebin,,,1.31866,0.53345,8.50033,2.79762,,,6.3104,,,6.3105,34,1,674,1.43037,0.4952,0.00019,0.0,4e-05
HD174240,G430L,moffat,rebin,1.4038,,1.19233,0.05566,7.80548,1.95379,,,3.465,,,3.4653,34,2,674,1.24198,0.4952,0.03106,0.00854,0.02627
HD174240,G430L,gauss2,rebin,,,1.17317,0.10105,6.41112,1.87595,,0.8035,,5.3658,13574.24,5.3721,34,3,674,1.21837,0.5003,0.03792,0.03249,0.03738
HD174240,G430L,gauss_tophat,rebin,,0.1432,1.31867,0.53305,8.50031,2.79752,,,6.3098,,,6.3106,34,2,674,1.43037,0.4953,0.00019,0.0,4e-05
HD174240,G430L,stis,interp,,,1.32786,6.71081,17.17939,8.06077,,,,,,4.0404,34,0,674,2.22531,0.4525,0.0,0.0,0.0
HD174240,G430L,stis_gauss,interp,,,1.30806,0.55305,7.65552,2.58577,4.5207,,,,,6.4715,34,1,674,1.40071,0.4565,0.00073,0.0,0.0002
HD174240,G430L,stis_tophat,interp,,6.3324,1.32233,0.80503,7.89476,2.76696,,,,,,6.9887,34,1,674,1.43059,0.4568,0.00018,0.0,2e-05
HD174240,G430L,stis05,interp,,,1.22169,1.24311,9.00103,2.51085,,,,,,4.0432,34,0,674,1.31729,0.4348,0.02556,0.0,0.01794
HD174240,G430L,stis2,interp,,,1.45616,-3.93275,-11.08929,5.49686,,,,,,4.0453,34,0,674,1.88086,0.4378,0.08753,0.04046,0.08038
HD174240,G430L,stis2_gauss,interp,,,1.45618,-3.93261,-11.09346,5.49703,0.05,,,,,4.0462,34,1,674,1.8809,0.4372,0.08753,0.04046,0.08038
HD174240,G430L,stis2_tophat,interp,,0.05,1.45615,-3.93292,-11.08794,5.4969,,,,,,4.0453,34,1,674,1.88086,0.4379,0.08753,0.04046,0.08038
HD174240,G430L,gauss,interp,,,1.31825,0.53309,8.5019,2.79442,,,6.5827,,,6.5828,34,1,674,1.42969,0.4954,0.00035,0.0,9e-05
HD174240,G430L,moffat,interp,1.5316,,1.19703,0.04023,7.8375,1.9782,,,3.997,,,3.997,34,2,674,1.2482,0.4941,0.02965,0.00705,0.02461
HD174240,G430L,gauss2,interp,,,1.17297,0.10049,6.41391,1.874,,0.7873,,5.6855,12305.6174,5.6926,34,3,674,1.21803,0.5001,0.03788,0.03245,0.03733
HD174240,G430L,gauss_tophat,interp,,0.0601,1.31823,0.53378,8.50253,2.79452,,,6.5823,,,6.5826,34,2,674,1.42969,0.4953,0.00035,0.0,9e-05
HD174240,G750L,stis,rebin,,,1.37126,4.46361,4.46361,4.46361,,,,,,8.0898,1,0,480,1.3849,-0.5495,0.02536,0.0,0.0
HD174240,G750L,stis_gauss,rebin,,,1.28986,-2.34772,-2.34772,2.34772,9.5977,,,,,13.409,1,1,480,1.29296,-0.6144,0.09029,0.00074,0.001
HD174240,G750L,stis_tophat,rebin,,13.217,1.29528,-2.29135,-2.29135,2.29135,,,,,,14.4232,1,1,480,1.29815,-0.6184,0.07722,7e-05,0.00012
HD174240,G750L,stis05,rebin,,,1.28897,0.97351,0.97351,0.97351,,,,,,8.0945,1,0,480,1.28839,-0.584,0.09263,0.01274,0.01404
HD174240,G750L,stis2,rebin,,,1.25586,-1.81648,-1.81648,1.81648,,,,,,8.0945,1,0,480,1.25729,-0.5975,0.13861,0.06272,0.06398
HD174240,G750L,stis2_gauss,rebin,,,1.25586,-1.81663,-1.81663,1.81663,0.0502,,,,,8.0951,1,1,480,1.25729,-0.5977,0.13861,0.06272,0.06398
HD174240,G750L,stis2_tophat,rebin,,0.0502,1.25586,-1.81639,-1.81639,1.81639,,,,,,8.0945,1,1,480,1.25729,-0.5972,0.13861,0.06272,0.06398
HD174240,G750L,gauss,rebin,,,1.29097,-2.45874,-2.45874,2.45874,,,13.8109,,,13.8111,1,1,480,1.2945,-0.5758,0.08819,0.00065,0.00087
HD174240,G750L,moffat,rebin,1.2652,,1.25944,-1.16033,-1.16033,1.16033,,,7.4732,,,7.4733,1,2,480,1.25924,-0.5266,0.13592,0.04645,0.04836
HD174240,G750L,gauss2,rebin,,,1.24903,-2.4366,-2.4366,2.4366,,0.7762,,11.1626,5798.8029,11.2165,1,3,480,1.25267,-0.5548,0.10422,0.06191,0.06241
HD174240,G750L,gauss_tophat,rebin,,0.0626,1.29097,-2.45826,-2.45826,2.45826,,,13.8105,,,13.8107,1,2,480,1.2945,-0.5758,0.08818,0.00065,0.00087
HD174240,G750L,stis,interp,,,1.3923,5.88838,5.88838,5.88838,,,,,,8.0898,1,0,480,1.41658,-0.5425,0.02536,0.0,0.0
HD174240,G750L,stis_gauss,interp,,,1.28981,-2.34423,-2.34423,2.34423,10.1573,,,,,13.8535,1,1,480,1.2929,-0.6151,0.09907,0.00105,0.00139
HD174240,G750L,stis_tophat,interp,,13.9194,1.29682,-2.3489,-2.3489,2.3489,,,,,,14.9795,1,1,480,1.2999,-0.6198,0.0837,0.0001,0.00018
HD174240,G750L,stis05,interp,,,1.29853,2.17002,2.17002,2.17002,,,,,,8.0945,1,0,480,1.30095,-0.5755,0.09263,0.01274,0.01404
HD174240,G750L,stis2,interp,,,1.25948,-0.74493,-0.74493,0.74493,,,,,,8.0945,1,0,480,1.25862,-0.588,0.13861,0.06272,0.06398
HD174240,G750L,stis2_gauss,interp,,,1.25665,-1.56199,-1.56199,1.56199,2.9258,,,,,8.8167,1,1,480,1.25736,-0.5957,0.14207,0.06261,0.06391
HD174240,G750L,stis2_tophat,interp,,4.3217,1.25656,-1.5868,-1.5868,1.5868,,,,,,8.8711,1,1,480,1.25734,-0.5957,0.14207,0.06259,0.06389
HD174240,G750L,gauss,interp,,,1.29093,-2.4552,-2.4552,2.4552,,,14.205,,,14.2051,1,1,480,1.29444,-0.5758,0.09737,0.00091,0.00121
HD174240,G750L,moffat,interp,1.3541,,1.26034,-1.05279,-1.05279,1.05279,,,8.3567,,,8.3568,1,2,480,1.25994,-0.5271,0.14153,0.045,0.04699
HD174240,G750L,gauss2,interp,,,1.24907,-2.43192,-2.43192,2.43192,,0.6751,,11.6518,3477.2124,11.7105,1,3,480,1.25269,-0.5558,0.11183,0.06186,0.06237
HD174240,G750L,gauss_tophat,interp,,0.0603,1.29093,-2.45538,-2.45538,2.45538,,,14.205,,,14.2052,1,2,480,1.29444,-0.5757,0.09738,0.00092,0.00121
HD166991,G430L,stis,rebin,,,0.79468,3.48113,9.38035,4.41682,,,,,,4.0404,38,0,674,1.30222,0.5098,0.0,0.0,0.0
HD166991,G430L,stis_gauss,rebin,,,0.80316,0.77691,7.40505,2.29407,3.5133,,,,,5.698,38,1,674,0.95153,0.5037,0.00018,0.0,3e-05
HD166991,G430L,stis_tophat,rebin,,4.9823,0.80643,0.89259,7.53476,2.36115,,,,,,5.9845,38,1,674,0.96332,0.5036,5e-05,0.0,0.0
HD166991,G430L,stis05,rebin,,,0.7555,-0.47547,5.73561,1.89976,,,,,,4.0432,38,0,674,0.86144,0.4828,0.02556,0.0,0.01794
HD166991,G430L,stis2,rebin,,,1.16486,-4.73806,-12.28695,6.28347,,,,,,4.0453,38,0,674,1.87254,0.4843,0.08753,0.04046,0.08038
HD166991,G430L,stis2_gauss,rebin,,,1.1649,-4.73801,-12.28731,6.28363,0.05,,,,,4.0462,38,1,674,1.87259,0.4839,0.08753,0.04046,0.08038
