star,grating,family,sampling,beta,box,cont_rms,core_mean,core_peak,core_rms,extra_fwhm,frac2,fwhm,fwhm1,fwhm2,kernel_fwhm_A,n_core,n_par,n_pix,rms,shift_A,wing_10A,wing_20A,wing_4px
HD128801,G750L,gauss2,interp,,,0.89971,-1.76045,-1.76045,1.76045,,0.191,,9.9418,39.5401,10.3314,1,3,479,0.90236,-0.1055,0.11978,0.04462,0.04678
HD128801,G750L,gauss_tophat,interp,,0.0592,0.9351,-3.1168,-3.1168,3.1168,,,14.0159,,,14.0161,1,2,479,0.94491,-0.1811,0.09294,0.00078,0.00104
HD106304,G430L,stis,rebin,,,0.76194,4.28552,-25.54062,7.16508,,,,,,4.0404,39,0,674,1.87552,0.1678,0.0,0.0,0.0
HD106304,G430L,stis_gauss,rebin,,,0.80508,0.16983,-23.16624,4.63147,3.8017,,,,,5.9147,39,1,674,1.36083,0.172,0.00028,0.0,6e-05
HD106304,G430L,stis_tophat,rebin,,5.3965,0.80587,0.33099,-23.06733,4.70522,,,,,,6.2812,39,1,674,1.37583,0.1716,7e-05,0.0,1e-05
HD106304,G430L,stis05,rebin,,,0.74537,-0.98629,-25.71875,4.43113,,,,,,4.0432,39,0,674,1.28824,0.1485,0.02556,0.0,0.01794
HD106304,G430L,stis2,rebin,,,1.07846,-5.87896,-25.65396,7.69048,,,,,,4.0453,39,0,674,2.12557,0.1473,0.08753,0.04046,0.08038
HD106304,G430L,stis2_gauss,rebin,,,1.07847,-5.87925,-25.65349,7.69073,0.05,,,,,4.0462,39,1,674,2.12562,0.1472,0.08753,0.04046,0.08038
HD106304,G430L,stis2_tophat,rebin,,0.05,1.07847,-5.87895,-25.65384,7.69047,,,,,,4.0453,39,1,674,2.12557,0.1472,0.08753,0.04046,0.08038
HD106304,G430L,gauss,rebin,,,0.80967,0.1999,-22.8631,4.75477,,,6.1036,,,6.1036,39,1,674,1.38773,0.2111,0.00011,0.0,2e-05
HD106304,G430L,moffat,rebin,1.5363,,0.71406,-0.54981,-25.36614,4.32625,,,3.6432,,,3.6435,39,2,674,1.25035,0.2077,0.02442,0.00574,0.02023
HD106304,G430L,gauss2,rebin,,,0.70731,-0.35924,-24.54953,4.27899,,0.0568,,5.1292,42.8217,5.1556,39,3,674,1.23726,0.2088,0.0331,0.01542,0.03103
HD106304,G430L,gauss_tophat,rebin,,0.1292,0.80967,0.20043,-22.86308,4.75477,,,6.1027,,,6.1035,39,2,674,1.38773,0.211,0.00011,0.0,2e-05
HD106304,G430L,stis,interp,,,0.77013,5.50644,-26.26111,8.52412,,,,,,4.0404,39,0,674,2.18247,0.1638,0.0,0.0,0.0
HD106304,G430L,stis_gauss,interp,,,0.80474,0.16922,-23.17743,4.62888,4.2381,,,,,6.2502,39,1,674,1.36013,0.1723,0.00051,0.0,0.00013
HD106304,G430L,stis_tophat,interp,,5.9768,0.80628,0.40283,-23.01136,4.75679,,,,,,6.7144,39,1,674,1.38627,0.1713,0.00013,0.0,1e-05
HD106304,G430L,stis05,interp,,,0.73119,-0.07031,-26.42201,4.56621,,,,,,4.0432,39,0,674,1.30773,0.146,0.02556,0.0,0.01794
HD106304,G430L,stis2,interp,,,1.07724,-5.14477,-26.31394,7.10466,,,,,,4.0453,39,0,674,2.00351,0.1455,0.08753,0.04046,0.08038
HD106304,G430L,stis2_gauss,interp,,,1.07726,-5.14507,-26.31317,7.10485,0.05,,,,,4.0462,39,1,674,2.00355,0.1453,0.08753,0.04046,0.08038
HD106304,G430L,stis2_tophat,interp,,0.05,1.07732,-5.14462,-26.31193,7.10447,,,,,,4.0453,39,1,674,2.00351,0.1448,0.08753,0.04046,0.08038
