star,teff,e_teff,logg,e_logg,fe_h,e_fe_h,vsini,e_vsini,ebv,ebv_err,lit_teff,lit_logg,lit_fe_h,lit_vsini,grid,wave_min,wave_max,snr_median,snr_balmer,selected,reject_reason
Castor,9030.919061961522,3.5406802089924647,3.938539489012473,0.003951323219071592,0.19211471249199386,0.004484025663516433,18.42874743770656,0.14890711056006117,0.0,0.0,10069.0,nan,nan,nan,phx20atm_*,3200.9,10252.7,258,273,yes,
HD162393,9954.520275918509,2230.1893944602143,4.0539282682098765,0.002034427770578375,-0.5502749566035957,0.012685739583234512,141.8697154657744,0.6877068190598526,0.06495314091444016,0.014201979152858257,nan,nan,nan,nan,phx20atm_*,3200.9,10252.7,96,132,yes,
HD162678,9908.40522658039,6.587515167944507,3.529602322315759,0.00211688631284604,0.028496310954738726,0.004109969201751552,36.833045760796814,0.18337067348947234,0.07682351022958755,0.025362452492117882,10300.0,3.450000047683716,nan,40.0,phx20atm_*,3200.9,10252.7,293,169,yes,
HD188294,11015.63084749253,3.014527355861907,4.043665863153457,0.0010887467403900293,0.05347983061216183,0.0021811568682387336,181.51546889173213,0.39524427529241185,0.03981529176235199,0.012187175452709198,11117.0,nan,nan,nan,phx20atm_*,3200.9,10252.7,349,299,yes,
