lam_center,lam_lo,lam_hi,width,depth_change
5529.96,5528.25,5531.68,3.43,-0.0421
9189.86,9189.40,9190.32,0.92,-0.0420
9180.13,9178.01,9182.24,4.22,-0.0413
4739.69,4737.98,4741.39,3.41,-0.0405
5281.45,5281.19,5281.71,0.53,-0.0403
7464.44,7464.14,7464.74,0.60,-0.0398
6514.50,6510.86,6518.15,7.30,-0.0398
7158.72,7158.43,7159.00,0.57,-0.0397
4782.73,4781.10,4784.35,3.25,-0.0396
5617.19,5616.96,5617.41,0.45,-0.0395
6319.63,6319.31,6319.95,0.63,-0.0394
9134.98,9134.61,9135.34,0.73,-0.0388
5383.35,5381.63,5385.07,3.45,-0.0387
5293.14,5292.92,5293.35,0.42,-0.0386
4969.56,4968.56,4970.55,1.99,-0.0384
5431.91,5425.29,5438.54,13.25,-0.0381
5095.01,5094.75,5095.26,0.51,-0.0380
5489.14,5488.81,5489.47,0.66,-0.0375
8224.69,8223.62,8225.76,2.14,-0.0374
4153.25,4150.43,4156.07,5.65,-0.0369
5397.36,5397.15,5397.58,0.43,-0.0368
5388.57,5388.30,5388.84,0.54,-0.0365
7444.32,7444.02,7444.61,0.60,-0.0363
9125.48,9125.12,9125.85,0.73,-0.0360
4530.31,4529.68,4530.95,1.27,-0.0359
5074.67,5071.98,5077.36,5.38,-0.0353
7256.38,7256.02,7256.74,0.73,-0.0353
9299.69,9299.22,9300.15,0.93,-0.0351
8188.09,8185.55,8190.63,5.08,-0.0350
5416.61,5416.29,5416.94,0.65,-0.0350
5128.69,5126.54,5130.85,4.31,-0.0332
5588.95,5588.05,5589.84,1.79,-0.0328
5781.78,5781.54,5782.01,0.46,-0.0322
7425.65,7425.43,7425.88,0.45,-0.0321
5479.21,5478.28,5480.14,1.86,-0.0320
7044.03,7043.82,7044.24,0.42,-0.0316
4837.51,4837.37,4837.66,0.29,-0.0316
7116.25,7113.33,7119.17,5.84,-0.0314
5064.78,5062.96,5066.60,3.65,-0.0308
4984.94,4983.79,4986.08,2.29,-0.0303
5457.01,5456.74,5457.28,0.55,-0.0302
9206.42,9206.33,9206.51,0.18,-0.0293
6176.93,6176.74,6177.11,0.37,-0.0292
5483.81,5483.65,5483.98,0.33,-0.0289
9485.47,9485.18,9485.75,0.57,-0.0287
6385.51,6385.38,6385.63,0.26,-0.0287
6484.02,6483.83,6484.22,0.39,-0.0286
5904.42,5904.24,5904.59,0.35,-0.0285
5992.99,5992.87,5993.11,0.24,-0.0283
8197.10,8196.86,8197.35,0.49,-0.0280
7310.06,7309.91,7310.20,0.29,-0.0280
5047.89,5046.48,5049.31,2.83,-0.0279
4757.06,4756.87,4757.25,0.38,-0.0278
4900.76,4899.88,4901.64,1.76,-0.0277
7226.40,7226.18,7226.62,0.43,-0.0276
4751.74,4750.41,4753.07,2.66,-0.0274
5546.08,5545.63,5546.52,0.89,-0.0274
4978.41,4978.21,4978.61,0.40,-0.0272
4792.11,4791.92,4792.30,0.38,-0.0266
4477.30,4477.17,4477.44,0.27,-0.0266
6434.48,6434.35,6434.61,0.26,-0.0266
6924.05,6923.84,6924.26,0.42,-0.0265
7515.22,7515.07,7515.37,0.30,-0.0265
5083.61,5083.45,5083.76,0.31,-0.0258
7058.70,7058.49,7058.91,0.42,-0.0252
6333.74,6333.61,6333.87,0.25,-0.0252
5579.56,5579.34,5579.79,0.45,-0.0249
5785.65,5785.13,5786.17,1.04,-0.0247
4764.97,4763.73,4766.21,2.48,-0.0246
5646.30,5645.46,5647.15,1.69,-0.0244
9048.34,9048.06,9048.61,0.54,-0.0244
6048.08,6047.90,6048.26,0.36,-0.0241
5659.53,5659.36,5659.70,0.34,-0.0241
6907.52,6907.38,6907.66,0.28,-0.0239
6307.07,6306.94,6307.19,0.25,-0.0237
4774.08,4772.98,4775.18,2.20,-0.0236
5089.66,5088.54,5090.78,2.24,-0.0235
6884.21,6884.08,6884.35,0.28,-0.0234
5712.64,5711.78,5713.49,1.71,-0.0229
7417.86,7417.71,7418.01,0.30,-0.0227
6014.79,6014.61,6014.97,0.36,-0.0227
5134.65,5134.03,5135.26,1.23,-0.0222
5209.90,5209.74,5210.06,0.31,-0.0219
5815.29,5815.17,5815.41,0.23,-0.0217
5493.80,5493.64,5493.97,0.33,-0.0216
6423.42,6423.29,6423.55,0.26,-0.0211
7322.64,7322.49,7322.79,0.29,-0.0210
9052.41,9052.23,9052.59,0.36,-0.0205
5409.14,5409.04,5409.25,0.22,-0.0205
5028.39,5028.24,5028.55,0.30,-0.0203
5550.52,5550.40,5550.63,0.22,-0.0202
4211.55,4211.47,4211.63,0.17,-0.0200
