star,grating,family,sampling,lo,hi,lam_mid,fwhm_A,R,rms,shift_A,n_pix
HD106304,G430L,gauss,rebin,4000.0,4250.0,4125.0,6.4311,641.4,0.73015,0.1793,91
HD106304,G430L,moffat,rebin,4000.0,4250.0,4125.0,3.5196,1172.0,0.46369,0.1741,91
HD106304,G430L,gauss,rebin,4250.0,4500.0,4375.0,6.5119,671.8,0.7088,0.0494,91
HD106304,G430L,moffat,rebin,4250.0,4500.0,4375.0,3.6764,1190.0,0.46427,0.0457,91
HD106304,G430L,gauss,rebin,4650.0,5100.0,4875.0,6.973,699.1,0.67128,-0.0037,164
HD106304,G430L,moffat,rebin,4650.0,5100.0,4875.0,3.5865,1359.3,0.51813,-0.0156,164
HD106304,G750L,gauss,rebin,5700.0,6270.0,5985.0,40.0003,149.6,0.8228,1.6416,116
HD106304,G750L,moffat,rebin,5700.0,6270.0,5985.0,40.0,149.6,0.81263,0.0169,116
HD106304,G750L,gauss,rebin,6330.0,6860.0,6595.0,12.432,530.5,0.57284,-0.0346,108
HD106304,G750L,moffat,rebin,6330.0,6860.0,6595.0,8.0874,815.5,0.50154,-0.0422,108
HD106304,G750L,gauss,rebin,6960.0,7570.0,7265.0,40.0003,181.6,0.42971,-0.033,74
HD106304,G750L,moffat,rebin,6960.0,7570.0,7265.0,40.0,181.6,0.42436,0.0169,74
HD106304,G750L,gauss,rebin,8400.0,8900.0,8650.0,14.2351,607.7,1.25108,-0.6301,102
HD106304,G750L,moffat,rebin,8400.0,8900.0,8650.0,9.338,926.3,1.17902,-0.6291,102
