star,fwhm_gauss,wing,fwhm_wing,rms_gauss,rms_wing,xsl_core,xsl_cont,model_core,model_cont,xslwing_core,model_gauss_core,model_wing_core,below_grid
HD164257,7.318554687500001,0.16495562832802535,5.418031434714791,0.007160636927976123,0.005916393648010055,-0.37134625312927827,-0.38031466134899483,12.201912407122105,-1.29661243134841,-2.5471847464564608,4.296106552170418,2.5134010749091833,False
HD143459,7.329321289062499,0.0999273613461314,5.9033481937991645,0.006100287685900776,0.005673430865558984,-0.1895125776162217,-0.029194920177588637,5.958186846112574,-0.38162828002259985,-0.18374922449193706,0.2777242040786686,0.3625385299357328,False
HD194453,6.926171874999999,0.1209708434225466,5.4063434899668215,0.006441324544612469,0.0058730266699326015,-0.4561029543382251,-0.14628042963102986,4.499637943515325,-0.20644779669901306,-0.5867388781941469,0.3888618122913512,-0.7112873753021273,False
HD167946,6.093554687500002,0.11934658702062785,4.7322339984646575,0.007370089119150315,0.006964165691052354,1.0164530649879748,-0.5844544648691169,-0.757884490596368,-0.41600194991403955,1.6240037571188948,-1.2660976873944825,-0.5507701517876373,False
HD147550,6.077832031249996,0.14682994479197076,4.462131354864685,0.006937488540264003,0.006372933756825289,1.2141790042337264,-0.32844943546544625,2.1977975941549106,-0.7153673955914472,0.4785259861844732,3.111467662278874,2.0987062022922127,False
HD074721,6.224121093749997,0.10919528948565199,4.970588715060144,0.008077735122101483,0.007725245601069759,-1.7372573260458863,-0.39141905990331205,1.7364643963275253,-0.7285099596653859,-1.912918393459286,0.4897743346553841,0.82488139849795,True
HD164967,6.110644531249999,0.0898208639316729,5.311866012448447,0.008694628614039362,0.008384632862028313,1.9135297140561953,-0.49823640521730544,2.0363133504819646,-0.42799520229423155,-0.5990740560793554,2.960466746067005,0.3031494190068785,False
HD174240,6.2822265625,0.1274372923001648,4.935120009630909,0.006664915124593308,0.006022834942478735,1.6547038580259388,-0.5617044630249745,4.317997936957238,-0.6113000589695718,-0.8896759671779555,3.8556475289093406,2.2102047313640276,False
HD166991,6.105859375,0.10746892737948666,5.100769628053953,0.0060106821399197275,0.005554334400942894,0.5833705420997066,-0.4250137573802436,1.4995541981121387,-0.2217273115550517,-1.763704459026212,1.7170589560412604,-0.5263308647746173,False
HD117880,5.766113281249999,0.13166724605244673,4.261549024240465,0.006405044962587432,0.00598823409036203,-0.13823871597967452,-0.04029660412009008,-3.2062629419763056,-0.03124531279519567,-0.9524200518326736,-1.730991711469416,-3.359793956938935,True
HD128801,6.9890625,0.1303784977633733,5.187086771480467,0.007156354098746059,0.006766835807032123,-0.7502223483151595,-0.1441428334602146,0.3764024748731441,-0.056854944062252145,-0.9206011402192682,-3.3766109767418127,-3.3581608737740147,True
HD106304,6.3533203124999975,0.1659183806343936,4.322743600420649,0.006589744437892802,0.006057146143276881,-2.106696622198345,-0.21716763012931492,-1.8449627918596287,-0.5056895719868798,-1.2853648808047609,-2.7540329361474774,-3.2430663102058657,True
