wavelength_A_vacuum,flam,flam_err
3360.0,9.181053e-13,5.084959e-14
3380.0,8.660580e-13,3.909351e-14
3400.0,7.461328e-13,3.333532e-14
3420.0,6.642133e-13,2.979074e-14
3440.0,6.809708e-13,2.913385e-14
3460.0,7.125629e-13,2.933563e-14
3480.0,6.790258e-13,3.188164e-14
3500.0,6.127714e-13,3.432976e-14
3520.0,6.172593e-13,3.916388e-14
3540.0,6.650678e-13,4.200308e-14
3560.0,6.379989e-13,4.248911e-14
3580.0,5.909676e-13,3.780509e-14
3600.0,6.192829e-13,3.742005e-14
3620.0,6.458660e-13,3.661490e-14
3640.0,5.873353e-13,3.844365e-14
3660.0,4.916850e-13,4.147368e-14
3680.0,4.867568e-13,4.409623e-14
3700.0,6.028121e-13,5.033890e-14
3720.0,7.254595e-13,5.209481e-14
3740.0,7.748747e-13,5.992814e-14
3760.0,8.338521e-13,6.407135e-14
3780.0,1.043410e-12,7.039065e-14
3800.0,1.360645e-12,7.831415e-14
3820.0,1.580440e-12,7.721984e-14
3840.0,1.625787e-12,8.089965e-14
3860.0,1.629538e-12,7.627578e-14
3880.0,1.715658e-12,6.933323e-14
3900.0,1.830660e-12,6.670194e-14
3920.0,1.862631e-12,5.829093e-14
3940.0,1.782066e-12,5.351678e-14
3960.0,1.681579e-12,5.179736e-14
3980.0,1.668633e-12,4.629608e-14
4000.0,1.761787e-12,4.410235e-14
4020.0,1.891361e-12,4.399510e-14
4040.0,1.940939e-12,4.046104e-14
4060.0,1.866757e-12,3.881646e-14
4080.0,1.711962e-12,3.917273e-14
4100.0,1.570671e-12,3.690798e-14
4120.0,1.522459e-12,3.519646e-14
4140.0,1.589674e-12,3.578226e-14
4160.0,1.717048e-12,3.453505e-14
4180.0,1.830965e-12,3.263959e-14
4200.0,1.877060e-12,3.295658e-14
4220.0,1.843333e-12,3.259788e-14
4240.0,1.755448e-12,3.037649e-14
4260.0,1.654085e-12,2.962180e-14
4280.0,1.561085e-12,2.999902e-14
4300.0,1.489629e-12,2.856474e-14
4320.0,1.437027e-12,2.651220e-14
4340.0,1.400184e-12,2.647259e-14
4360.0,1.385338e-12,2.662946e-14
4380.0,1.399498e-12,2.485503e-14
4400.0,1.436948e-12,2.296765e-14
4420.0,1.488457e-12,2.317086e-14
4440.0,1.536846e-12,2.350299e-14
4460.0,1.565771e-12,2.199860e-14
4480.0,1.565352e-12,2.009381e-14
4500.0,1.536054e-12,1.996244e-14
4520.0,1.489919e-12,2.051520e-14
4540.0,1.442718e-12,1.967067e-14
4560.0,1.406641e-12,1.778969e-14
4580.0,1.390737e-12,1.693587e-14
4600.0,1.390859e-12,1.739180e-14
4620.0,1.401164e-12,1.739334e-14
4640.0,1.411434e-12,1.611021e-14
4660.0,1.410766e-12,1.457730e-14
4680.0,1.399390e-12,1.422339e-14
4700.0,1.372030e-12,1.459583e-14
4720.0,1.333999e-12,1.437092e-14
4740.0,1.289947e-12,1.320473e-14
4760.0,1.243339e-12,1.194735e-14
4780.0,1.197681e-12,1.155578e-14
4800.0,1.157972e-12,1.181244e-14
4820.0,1.122314e-12,1.174201e-14
4840.0,1.095907e-12,1.100787e-14
4860.0,1.076097e-12,9.996932e-15
4880.0,1.066522e-12,9.428553e-15
4900.0,1.067111e-12,9.441639e-15
4920.0,1.077161e-12,9.531574e-15
4940.0,1.092175e-12,9.242242e-15
4960.0,1.109243e-12,8.610691e-15
4980.0,1.126421e-12,8.020350e-15
5000.0,1.139729e-12,7.776854e-15
5020.0,1.142114e-12,7.781263e-15
5040.0,1.137760e-12,7.763160e-15
5060.0,1.123866e-12,7.507990e-15
5080.0,1.103634e-12,7.076123e-15
5100.0,1.080732e-12,6.673422e-15
5120.0,1.057099e-12,6.450774e-15
5140.0,1.036530e-12,6.394329e-15
5160.0,1.020923e-12,6.360901e-15
5180.0,1.010532e-12,6.234859e-15
5200.0,1.002932e-12,5.998280e-15
5220.0,1.000076e-12,5.745691e-15
5240.0,9.990817e-13,5.550201e-15
5260.0,9.965755e-13,5.426728e-15
5280.0,9.924167e-13,5.346178e-15
5300.0,9.856363e-13,5.257314e-15
5320.0,9.735851e-13,5.124390e-15
5340.0,9.586693e-13,4.970390e-15
5360.0,9.435117e-13,4.831224e-15
5380.0,9.273557e-13,4.713944e-15
5400.0,9.108333e-13,4.612676e-15
5420.0,8.968983e-13,4.522807e-15
5440.0,8.863214e-13,4.434345e-15
5460.0,8.761592e-13,4.332575e-15
5480.0,8.686394e-13,4.238366e-15
5500.0,8.631678e-13,4.157702e-15
5520.0,8.593760e-13,4.089958e-15
5540.0,8.533781e-13,4.011474e-15
5560.0,8.485322e-13,3.933617e-15
5580.0,8.425468e-13,3.847974e-15
5600.0,8.346515e-13,3.761324e-15
5620.0,8.256387e-13,3.689968e-15
5640.0,8.160908e-13,3.643264e-15
5660.0,8.067426e-13,3.619702e-15
5680.0,7.972867e-13,3.602590e-15
5700.0,7.900498e-13,3.583630e-15
5720.0,7.846768e-13,3.547438e-15
5740.0,7.776563e-13,3.475050e-15
5760.0,7.702102e-13,3.380693e-15
5780.0,7.604961e-13,3.272331e-15
5800.0,7.506430e-13,3.174722e-15
5820.0,7.390226e-13,3.088540e-15
5840.0,7.253772e-13,3.010110e-15
5860.0,7.140547e-13,2.947647e-15
5880.0,7.034078e-13,2.883496e-15
5900.0,6.950120e-13,2.817550e-15
5920.0,6.904898e-13,2.756064e-15
5940.0,6.846866e-13,2.684230e-15
5960.0,6.796840e-13,2.620190e-15
5980.0,6.774993e-13,2.581336e-15
6000.0,6.759542e-13,2.565191e-15
6020.0,6.743434e-13,2.568765e-15
6040.0,6.707540e-13,2.577822e-15
6060.0,6.660240e-13,2.584370e-15
6080.0,6.594618e-13,2.574334e-15
6100.0,6.520692e-13,2.543643e-15
6120.0,6.443535e-13,2.491808e-15
6140.0,6.362701e-13,2.421824e-15
6160.0,6.279874e-13,2.341739e-15
6180.0,6.207515e-13,2.265198e-15
6200.0,6.119046e-13,2.190338e-15
6220.0,6.052758e-13,2.135388e-15
6240.0,6.028541e-13,2.107202e-15
6260.0,6.005975e-13,2.088311e-15
6280.0,5.994612e-13,2.077385e-15
