wavelength_A_vacuum,flam,flam_err
3360.0,1.172573e-12,7.810490e-14
3380.0,1.105663e-12,5.942177e-14
3400.0,9.927544e-13,5.048653e-14
3420.0,9.157538e-13,4.463921e-14
3440.0,9.239547e-13,4.337722e-14
3460.0,9.413129e-13,4.339132e-14
3480.0,9.036908e-13,4.706939e-14
3500.0,8.443764e-13,5.032182e-14
3520.0,8.657736e-13,5.795403e-14
3540.0,9.236932e-13,6.128646e-14
3560.0,8.716266e-13,6.311081e-14
3580.0,7.901477e-13,5.601685e-14
3600.0,8.211031e-13,5.468440e-14
3620.0,8.780526e-13,5.469997e-14
3640.0,8.332063e-13,5.658630e-14
3660.0,7.084928e-13,6.267606e-14
3680.0,6.708139e-13,6.617033e-14
3700.0,8.196163e-13,7.658769e-14
3720.0,1.040168e-12,8.030108e-14
3740.0,1.167533e-12,9.130089e-14
3760.0,1.228091e-12,1.013126e-13
3780.0,1.430293e-12,1.081867e-13
3800.0,1.831031e-12,1.225191e-13
3820.0,2.205303e-12,1.239271e-13
3840.0,2.349093e-12,1.251351e-13
3860.0,2.336717e-12,1.232864e-13
3880.0,2.375574e-12,1.118234e-13
3900.0,2.504992e-12,1.041447e-13
3920.0,2.605188e-12,9.583230e-14
3940.0,2.569938e-12,8.671028e-14
3960.0,2.451416e-12,8.174540e-14
3980.0,2.388620e-12,7.683737e-14
4000.0,2.462096e-12,7.198370e-14
4020.0,2.635881e-12,6.970525e-14
4040.0,2.758891e-12,6.714812e-14
4060.0,2.725321e-12,6.388722e-14
4080.0,2.537058e-12,6.195034e-14
4100.0,2.302574e-12,6.083178e-14
4120.0,2.162227e-12,5.859679e-14
4140.0,2.202677e-12,5.624722e-14
4160.0,2.384594e-12,5.562222e-14
4180.0,2.600115e-12,5.530370e-14
4200.0,2.732720e-12,5.281481e-14
4220.0,2.720575e-12,5.034460e-14
4240.0,2.580319e-12,5.057541e-14
4260.0,2.384547e-12,5.022368e-14
4280.0,2.198635e-12,4.665558e-14
4300.0,2.071021e-12,4.414516e-14
4320.0,2.005583e-12,4.522926e-14
4340.0,1.983298e-12,4.492448e-14
4360.0,1.989089e-12,4.098831e-14
4380.0,2.015991e-12,3.840263e-14
4400.0,2.054354e-12,3.993339e-14
4420.0,2.103269e-12,4.043366e-14
4440.0,2.154757e-12,3.688215e-14
4460.0,2.196070e-12,3.345538e-14
4480.0,2.212620e-12,3.444093e-14
4500.0,2.195138e-12,3.603546e-14
4520.0,2.147734e-12,3.386512e-14
4540.0,2.083739e-12,2.970420e-14
4560.0,2.019286e-12,2.872445e-14
4580.0,1.973672e-12,3.081146e-14
4600.0,1.951092e-12,3.097248e-14
4620.0,1.952074e-12,2.773415e-14
4640.0,1.966029e-12,2.435250e-14
4660.0,1.975617e-12,2.446990e-14
4680.0,1.974954e-12,2.624707e-14
4700.0,1.949411e-12,2.582121e-14
4720.0,1.901174e-12,2.280065e-14
4740.0,1.835168e-12,1.998389e-14
4760.0,1.758314e-12,2.003803e-14
4780.0,1.679963e-12,2.143572e-14
4800.0,1.611913e-12,2.133351e-14
4820.0,1.554954e-12,1.907046e-14
4840.0,1.517451e-12,1.646114e-14
4860.0,1.494533e-12,1.578591e-14
4880.0,1.488479e-12,1.686247e-14
4900.0,1.496014e-12,1.745841e-14
4920.0,1.513646e-12,1.642435e-14
4940.0,1.533904e-12,1.429185e-14
4960.0,1.553056e-12,1.273714e-14
4980.0,1.569894e-12,1.288555e-14
5000.0,1.580887e-12,1.380638e-14
5020.0,1.578171e-12,1.399358e-14
5040.0,1.568826e-12,1.303802e-14
5060.0,1.549373e-12,1.144929e-14
