wavelength_A_vacuum,flam,flam_err
3360.0,9.559351e-12,5.985740e-13
3380.0,9.312490e-12,5.125520e-13
3400.0,8.436049e-12,4.699294e-13
3420.0,7.755557e-12,4.560398e-13
3440.0,7.805429e-12,4.651053e-13
3460.0,7.940153e-12,4.940605e-13
3480.0,7.502666e-12,5.389290e-13
3500.0,6.797588e-12,5.995770e-13
3520.0,6.996450e-12,6.739352e-13
3540.0,7.951450e-12,7.388282e-13
3560.0,7.953356e-12,7.262027e-13
3580.0,7.117694e-12,6.577656e-13
3600.0,6.939891e-12,6.302809e-13
3620.0,7.237815e-12,6.128815e-13
3640.0,7.107792e-12,6.420875e-13
3660.0,6.331184e-12,6.640539e-13
3680.0,5.816618e-12,7.282801e-13
3700.0,6.459630e-12,7.826859e-13
3720.0,7.851137e-12,8.312015e-13
3740.0,8.837655e-12,9.323498e-13
3760.0,9.224618e-12,9.756719e-13
3780.0,1.029936e-11,1.098442e-12
3800.0,1.279529e-11,1.163502e-12
3820.0,1.553130e-11,1.177334e-12
3840.0,1.686453e-11,1.216477e-12
3860.0,1.672105e-11,1.118445e-12
3880.0,1.641373e-11,1.051312e-12
3900.0,1.670507e-11,9.766684e-13
3920.0,1.722785e-11,8.539004e-13
3940.0,1.722113e-11,8.048009e-13
3960.0,1.664800e-11,7.485425e-13
3980.0,1.611104e-11,6.788234e-13
4000.0,1.614419e-11,6.628408e-13
4020.0,1.678978e-11,6.313317e-13
4040.0,1.736278e-11,5.864519e-13
4060.0,1.726574e-11,5.841609e-13
4080.0,1.635094e-11,5.621226e-13
4100.0,1.505821e-11,5.199732e-13
4120.0,1.412770e-11,5.223522e-13
4140.0,1.414944e-11,5.183915e-13
4160.0,1.503983e-11,4.732645e-13
4180.0,1.627117e-11,4.647601e-13
4200.0,1.714014e-11,4.845775e-13
4220.0,1.716487e-11,4.533781e-13
4240.0,1.632295e-11,4.080409e-13
4260.0,1.501421e-11,4.207972e-13
4280.0,1.370433e-11,4.290105e-13
4300.0,1.281944e-11,3.835160e-13
4320.0,1.248130e-11,3.482400e-13
4340.0,1.257102e-11,3.676750e-13
4360.0,1.289017e-11,3.711029e-13
4380.0,1.324705e-11,3.276798e-13
4400.0,1.346727e-11,2.963313e-13
4420.0,1.353042e-11,3.144928e-13
4440.0,1.347595e-11,3.225665e-13
4460.0,1.337161e-11,2.886941e-13
4480.0,1.326124e-11,2.538666e-13
4500.0,1.315212e-11,2.614591e-13
4520.0,1.304264e-11,2.767737e-13
4540.0,1.291748e-11,2.600604e-13
4560.0,1.275532e-11,2.249407e-13
4580.0,1.258295e-11,2.135975e-13
4600.0,1.239447e-11,2.267143e-13
4620.0,1.222803e-11,2.278438e-13
4640.0,1.209608e-11,2.052351e-13
4660.0,1.197827e-11,1.804669e-13
4680.0,1.189964e-11,1.785251e-13
4700.0,1.178927e-11,1.875441e-13
4720.0,1.163488e-11,1.840518e-13
4740.0,1.141262e-11,1.650381e-13
4760.0,1.110417e-11,1.467694e-13
4780.0,1.071994e-11,1.443340e-13
4800.0,1.031286e-11,1.504873e-13
4820.0,9.894525e-12,1.490265e-13
4840.0,9.546770e-12,1.367610e-13
4860.0,9.277142e-12,1.220451e-13
4880.0,9.135055e-12,1.163036e-13
4900.0,9.121907e-12,1.191254e-13
4920.0,9.220869e-12,1.209180e-13
4940.0,9.375567e-12,1.157543e-13
4960.0,9.542559e-12,1.059507e-13
4980.0,9.691594e-12,9.821153e-14
5000.0,9.782431e-12,9.634511e-14
5020.0,9.756371e-12,9.721214e-14
5040.0,9.657054e-12,9.632539e-14
5060.0,9.471399e-12,9.165678e-14
5080.0,9.237468e-12,8.538501e-14
5100.0,8.994592e-12,8.097586e-14
5120.0,8.763786e-12,7.966808e-14
5140.0,8.577301e-12,7.973549e-14
5160.0,8.448069e-12,7.867472e-14
5180.0,8.373115e-12,7.561478e-14
5200.0,8.326452e-12,7.151816e-14
5220.0,8.318902e-12,6.844140e-14
5240.0,8.322718e-12,6.715623e-14
5260.0,8.307859e-12,6.680299e-14
