wavelength_A_vacuum,flam,flam_err
3360.0,7.063031e-12,4.835451e-13
3380.0,6.698601e-12,3.998814e-13
3400.0,5.881755e-12,3.539022e-13
3420.0,5.264352e-12,3.385458e-13
3440.0,5.327235e-12,3.408003e-13
3460.0,5.556667e-12,3.608474e-13
3480.0,5.356844e-12,4.022266e-13
3500.0,4.922782e-12,4.468908e-13
3520.0,5.161070e-12,5.163103e-13
3540.0,5.945908e-12,5.696829e-13
3560.0,5.931860e-12,5.744467e-13
3580.0,5.236872e-12,5.209373e-13
3600.0,5.035560e-12,5.096624e-13
3620.0,5.181731e-12,4.965141e-13
3640.0,5.003137e-12,5.284636e-13
3660.0,4.421278e-12,5.518133e-13
3680.0,4.191147e-12,6.064013e-13
3700.0,4.887708e-12,6.657721e-13
3720.0,6.017415e-12,6.973882e-13
3740.0,6.737747e-12,8.056304e-13
3760.0,7.157952e-12,8.301711e-13
3780.0,8.368692e-12,9.502884e-13
3800.0,1.062651e-11,1.016749e-12
3820.0,1.264423e-11,1.007716e-12
3840.0,1.331058e-11,1.079201e-12
3860.0,1.312399e-11,9.719043e-13
3880.0,1.332367e-11,9.200668e-13
3900.0,1.413459e-11,8.806926e-13
3920.0,1.481633e-11,7.438947e-13
3940.0,1.468279e-11,7.252163e-13
3960.0,1.396596e-11,6.893376e-13
3980.0,1.344120e-11,5.977921e-13
4000.0,1.361366e-11,6.129733e-13
4020.0,1.436952e-11,6.035347e-13
4040.0,1.494759e-11,5.293599e-13
4060.0,1.479219e-11,5.494457e-13
4080.0,1.388393e-11,5.690575e-13
4100.0,1.274542e-11,5.038531e-13
4120.0,1.206244e-11,4.945193e-13
4140.0,1.225583e-11,5.367999e-13
4160.0,1.310833e-11,4.981162e-13
4180.0,1.408138e-11,4.489960e-13
4200.0,1.461612e-11,4.858651e-13
4220.0,1.444429e-11,4.940901e-13
4240.0,1.368958e-11,4.287479e-13
4260.0,1.273650e-11,4.066508e-13
4280.0,1.190178e-11,4.446873e-13
4300.0,1.140097e-11,4.303196e-13
4320.0,1.121803e-11,3.661517e-13
4340.0,1.122835e-11,3.530489e-13
4360.0,1.134373e-11,3.827445e-13
4380.0,1.152753e-11,3.684064e-13
4400.0,1.172776e-11,3.158425e-13
4420.0,1.194468e-11,3.001545e-13
4440.0,1.214511e-11,3.220275e-13
4460.0,1.227707e-11,3.171988e-13
4480.0,1.228278e-11,2.788127e-13
4500.0,1.213213e-11,2.548006e-13
4520.0,1.186023e-11,2.649788e-13
4540.0,1.154015e-11,2.696564e-13
4560.0,1.124825e-11,2.474597e-13
4580.0,1.107166e-11,2.204906e-13
4600.0,1.101442e-11,2.156454e-13
4620.0,1.106789e-11,2.223884e-13
4640.0,1.117194e-11,2.164897e-13
4660.0,1.123747e-11,1.968394e-13
4680.0,1.124493e-11,1.816413e-13
4700.0,1.112339e-11,1.795047e-13
4720.0,1.089145e-11,1.796929e-13
4740.0,1.057544e-11,1.712740e-13
4760.0,1.020631e-11,1.569955e-13
4780.0,9.825482e-12,1.471440e-13
4800.0,9.489582e-12,1.453422e-13
4820.0,9.194835e-12,1.440530e-13
4840.0,8.987915e-12,1.376384e-13
4860.0,8.843128e-12,1.272412e-13
4880.0,8.781239e-12,1.193249e-13
4900.0,8.791760e-12,1.167260e-13
4920.0,8.862082e-12,1.160177e-13
4940.0,8.953744e-12,1.125372e-13
4960.0,9.046885e-12,1.058592e-13
4980.0,9.133149e-12,9.921603e-14
5000.0,9.188430e-12,9.547863e-14
5020.0,9.162681e-12,9.396474e-14
5040.0,9.093149e-12,9.252691e-14
5060.0,8.957240e-12,8.921947e-14
5080.0,8.777474e-12,8.474057e-14
5100.0,8.578533e-12,8.096144e-14
5120.0,8.371569e-12,7.882867e-14
5140.0,8.184076e-12,7.773541e-14
5160.0,8.030935e-12,7.627716e-14
5180.0,7.916492e-12,7.377389e-14
5200.0,7.826000e-12,7.064614e-14
5220.0,7.779615e-12,6.823382e-14
5240.0,7.759222e-12,6.703155e-14
5260.0,7.741559e-12,6.649791e-14
5280.0,7.726452e-12,6.579325e-14
5300.0,7.705146e-12,6.433288e-14
5320.0,7.653740e-12,6.210881e-14
5340.0,7.586467e-12,5.991086e-14
5360.0,7.519054e-12,5.844853e-14
5380.0,7.440736e-12,5.767953e-14
5400.0,7.352527e-12,5.712408e-14
5420.0,7.275708e-12,5.635588e-14
5440.0,7.215830e-12,5.513961e-14
5460.0,7.149744e-12,5.345435e-14
5480.0,7.097679e-12,5.187054e-14
5500.0,7.057717e-12,5.072770e-14
5520.0,7.029994e-12,5.008174e-14
5540.0,6.985567e-12,4.948999e-14
5560.0,6.954068e-12,4.884821e-14
5580.0,6.917980e-12,4.786746e-14
5600.0,6.871204e-12,4.659036e-14
5620.0,6.819535e-12,4.533212e-14
5640.0,6.766340e-12,4.441111e-14
5660.0,6.715796e-12,4.398607e-14
5680.0,6.663205e-12,4.390682e-14
5700.0,6.625946e-12,4.398856e-14
5720.0,6.599387e-12,4.388787e-14
5740.0,6.552758e-12,4.322141e-14
5760.0,6.495747e-12,4.208134e-14
5780.0,6.413080e-12,4.057735e-14
5800.0,6.323740e-12,3.911292e-14
5820.0,6.215587e-12,3.782769e-14
5840.0,6.088342e-12,3.677386e-14
5860.0,5.980322e-12,3.606889e-14
5880.0,5.879199e-12,3.544361e-14
5900.0,5.799309e-12,3.481356e-14
5920.0,5.754941e-12,3.418168e-14
5940.0,5.703574e-12,3.332035e-14
5960.0,5.662717e-12,3.245222e-14
5980.0,5.649038e-12,3.183236e-14
6000.0,5.644007e-12,3.149707e-14
6020.0,5.641119e-12,3.147696e-14
6040.0,5.623510e-12,3.163426e-14
6060.0,5.597147e-12,3.186201e-14
6080.0,5.555123e-12,3.194067e-14
6100.0,5.504824e-12,3.175783e-14
6120.0,5.449684e-12,3.125142e-14
6140.0,5.388725e-12,3.042344e-14
6160.0,5.323061e-12,2.936838e-14
6180.0,5.263239e-12,2.828193e-14
6200.0,5.186975e-12,2.719014e-14
6220.0,5.127182e-12,2.637727e-14
6240.0,5.101230e-12,2.597138e-14
6260.0,5.075463e-12,2.577420e-14
6280.0,5.058564e-12,2.575755e-14
6300.0,5.047702e-12,2.581772e-14
6320.0,5.028302e-12,2.580356e-14
6340.0,5.013594e-12,2.573835e-14
6360.0,5.015444e-12,2.358260e-14
6380.0,4.923669e-12,2.705869e-14
6400.0,4.753627e-12,3.704941e-14
6420.0,4.671096e-12,5.340392e-14
6440.0,4.669530e-12,6.330685e-14
6460.0,4.711696e-12,6.022831e-14
6480.0,4.712624e-12,5.738535e-14
6500.0,4.604321e-12,5.799247e-14
6520.0,4.374935e-12,5.617184e-14
6540.0,4.111093e-12,5.169990e-14
6560.0,3.938706e-12,5.091856e-14
6580.0,3.948746e-12,5.174587e-14
6600.0,4.135364e-12,4.852271e-14
6620.0,4.393873e-12,4.510344e-14
6640.0,4.588351e-12,4.592639e-14
6660.0,4.628860e-12,4.540804e-14
6680.0,4.531601e-12,4.140501e-14
6700.0,4.375640e-12,4.014389e-14
6720.0,4.245366e-12,4.181389e-14
6740.0,4.193897e-12,3.994672e-14
6760.0,4.227352e-12,3.617269e-14
6780.0,4.273207e-12,3.669844e-14
6800.0,4.278512e-12,3.841605e-14
6820.0,4.222086e-12,3.610163e-14
6840.0,4.118584e-12,3.339711e-14
6860.0,4.018035e-12,3.477896e-14
6880.0,3.964317e-12,3.561118e-14
6900.0,3.962039e-12,3.299924e-14
6920.0,3.979295e-12,3.146657e-14
6940.0,3.994182e-12,3.302985e-14
6960.0,3.965449e-12,3.283934e-14
6980.0,3.899451e-12,3.031749e-14
7000.0,3.820516e-12,2.991001e-14
7020.0,3.775378e-12,3.137046e-14
7040.0,3.760951e-12,3.028794e-14
7060.0,3.779625e-12,2.794369e-14
7080.0,3.808231e-12,2.877523e-14
7100.0,3.802100e-12,3.060399e-14
7120.0,3.753814e-12,2.912565e-14
7140.0,3.674882e-12,2.625825e-14
7160.0,3.595138e-12,2.721892e-14
7180.0,3.537712e-12,2.997709e-14
7200.0,3.507979e-12,2.942956e-14
7220.0,3.517113e-12,2.654149e-14
