wavelength_A_vacuum,flam,flam_err
3360.0,6.774280e-12,5.762098e-13
3380.0,6.562472e-12,4.814508e-13
3400.0,6.032811e-12,4.301365e-13
3420.0,5.353290e-12,4.114701e-13
3440.0,5.144777e-12,4.218326e-13
3460.0,5.290084e-12,4.425179e-13
3480.0,5.218966e-12,4.865767e-13
3500.0,4.807269e-12,5.376153e-13
3520.0,4.880059e-12,6.074212e-13
3540.0,5.622490e-12,6.622833e-13
3560.0,5.774571e-12,6.537599e-13
3580.0,5.137397e-12,5.847971e-13
3600.0,4.895315e-12,5.661461e-13
3620.0,5.142185e-12,5.429721e-13
3640.0,5.170819e-12,5.728457e-13
3660.0,4.605717e-12,5.914296e-13
3680.0,4.124329e-12,6.451665e-13
3700.0,4.620821e-12,6.993597e-13
3720.0,5.766344e-12,7.328225e-13
3740.0,6.298635e-12,8.271178e-13
3760.0,5.881158e-12,8.604083e-13
3780.0,5.933469e-12,9.683370e-13
3800.0,7.661052e-12,1.023036e-12
3820.0,1.014156e-11,1.036681e-12
3840.0,1.141488e-11,1.072016e-12
3860.0,1.108229e-11,9.818932e-13
3880.0,1.056271e-11,9.356867e-13
3900.0,1.089844e-11,8.614749e-13
3920.0,1.172401e-11,7.578267e-13
3940.0,1.210638e-11,7.300817e-13
3960.0,1.186397e-11,6.689639e-13
3980.0,1.163427e-11,6.155947e-13
4000.0,1.206981e-11,6.184551e-13
4020.0,1.319274e-11,5.800563e-13
4040.0,1.416345e-11,5.478671e-13
4060.0,1.416020e-11,5.663145e-13
4080.0,1.298975e-11,5.375250e-13
4100.0,1.130718e-11,5.003332e-13
4120.0,1.020241e-11,5.278619e-13
4140.0,1.048625e-11,5.227403e-13
4160.0,1.204612e-11,4.706878e-13
4180.0,1.404504e-11,4.862438e-13
4200.0,1.540433e-11,5.186300e-13
4220.0,1.542883e-11,4.710508e-13
4240.0,1.416190e-11,4.225714e-13
4260.0,1.228376e-11,4.556604e-13
4280.0,1.058751e-11,4.599744e-13
4300.0,9.671211e-12,3.903118e-13
4320.0,9.626529e-12,3.587559e-13
4340.0,1.015167e-11,4.050227e-13
4360.0,1.083169e-11,4.070620e-13
4380.0,1.135284e-11,3.380712e-13
4400.0,1.156115e-11,2.998744e-13
4420.0,1.154305e-11,3.401692e-13
4440.0,1.146152e-11,3.537507e-13
4460.0,1.145073e-11,3.011393e-13
4480.0,1.153960e-11,2.509030e-13
4500.0,1.166043e-11,2.722353e-13
4520.0,1.172338e-11,2.993208e-13
4540.0,1.166173e-11,2.728130e-13
4560.0,1.146177e-11,2.173685e-13
4580.0,1.120271e-11,2.066226e-13
4600.0,1.095215e-11,2.385709e-13
4620.0,1.079864e-11,2.461795e-13
4640.0,1.076614e-11,2.113595e-13
4660.0,1.080543e-11,1.689247e-13
4680.0,1.088107e-11,1.693150e-13
4700.0,1.086980e-11,1.935044e-13
4720.0,1.072351e-11,1.961114e-13
4740.0,1.041771e-11,1.690199e-13
4760.0,9.964992e-12,1.364279e-13
4780.0,9.423780e-12,1.318968e-13
4800.0,8.892190e-12,1.484855e-13
4820.0,8.419421e-12,1.545980e-13
4840.0,8.093427e-12,1.403738e-13
4860.0,7.915270e-12,1.159164e-13
4880.0,7.903517e-12,1.029234e-13
4900.0,8.027588e-12,1.091942e-13
4920.0,8.243056e-12,1.182934e-13
4940.0,8.479716e-12,1.165560e-13
4960.0,8.691417e-12,1.039686e-13
4980.0,8.855958e-12,8.987599e-14
5000.0,8.949447e-12,8.476994e-14
5020.0,8.932889e-12,8.850514e-14
5040.0,8.858007e-12,9.253586e-14
5060.0,8.718600e-12,9.064402e-14
5080.0,8.548496e-12,8.335086e-14
5100.0,8.377248e-12,7.529303e-14
5120.0,8.214505e-12,7.114940e-14
5140.0,8.080565e-12,7.154765e-14
5160.0,7.980625e-12,7.305608e-14
5180.0,7.909411e-12,7.257412e-14
5200.0,7.844808e-12,6.945677e-14
5220.0,7.803439e-12,6.544742e-14
5240.0,7.767742e-12,6.240721e-14
5260.0,7.718470e-12,6.105745e-14
5280.0,7.661742e-12,6.080159e-14
5300.0,7.595768e-12,6.048004e-14
5320.0,7.503313e-12,5.936498e-14
5340.0,7.403062e-12,5.776384e-14
5360.0,7.312620e-12,5.628757e-14
5380.0,7.221452e-12,5.512200e-14
5400.0,7.128631e-12,5.413613e-14
5420.0,7.051571e-12,5.316858e-14
5440.0,6.991924e-12,5.210327e-14
5460.0,6.923820e-12,5.090901e-14
5480.0,6.864310e-12,5.000572e-14
5500.0,6.810213e-12,4.951558e-14
5520.0,6.761627e-12,4.929540e-14
5540.0,6.691911e-12,4.882332e-14
5560.0,6.631582e-12,4.805575e-14
5580.0,6.566334e-12,4.687325e-14
5600.0,6.493001e-12,4.552006e-14
5620.0,6.419422e-12,4.445969e-14
5640.0,6.350527e-12,4.402478e-14
5660.0,6.291261e-12,4.423087e-14
5680.0,6.237474e-12,4.470634e-14
5700.0,6.204937e-12,4.509485e-14
5720.0,6.188167e-12,4.500105e-14
5740.0,6.156635e-12,4.410897e-14
5760.0,6.117363e-12,4.267685e-14
5780.0,6.053837e-12,4.101021e-14
5800.0,5.982058e-12,3.966180e-14
5820.0,5.889148e-12,3.878953e-14
5840.0,5.773999e-12,3.831982e-14
5860.0,5.672742e-12,3.818767e-14
5880.0,5.573976e-12,3.796412e-14
5900.0,5.491892e-12,3.749529e-14
5920.0,5.440763e-12,3.679782e-14
5940.0,5.381224e-12,3.569343e-14
5960.0,5.330773e-12,3.452437e-14
5980.0,5.305941e-12,3.367802e-14
6000.0,5.290051e-12,3.328874e-14
6020.0,5.277703e-12,3.342765e-14
6040.0,5.253709e-12,3.391040e-14
6060.0,5.224051e-12,3.453013e-14
6080.0,5.182430e-12,3.494960e-14
6100.0,5.135629e-12,3.497293e-14
6120.0,5.086507e-12,3.449867e-14
6140.0,5.033636e-12,3.353336e-14
