wavelength_A_vacuum,flam,flam_err
3360.0,1.458129e-12,9.781613e-14
3380.0,1.425117e-12,7.977668e-14
3400.0,1.316094e-12,7.071523e-14
3420.0,1.207415e-12,6.767943e-14
3440.0,1.197586e-12,6.898560e-14
3460.0,1.227920e-12,7.391186e-14
3480.0,1.198301e-12,8.235397e-14
3500.0,1.098114e-12,9.262901e-14
3520.0,1.063663e-12,1.064556e-13
3540.0,1.125071e-12,1.167190e-13
3560.0,1.125506e-12,1.171525e-13
3580.0,1.055255e-12,1.055483e-13
3600.0,1.049476e-12,1.027668e-13
3620.0,1.074038e-12,1.008867e-13
3640.0,1.050391e-12,1.043340e-13
3660.0,9.786691e-13,1.121925e-13
3680.0,9.515261e-13,1.184188e-13
3700.0,1.039949e-12,1.324842e-13
3720.0,1.204213e-12,1.371940e-13
3740.0,1.362953e-12,1.541333e-13
3760.0,1.521755e-12,1.658180e-13
3780.0,1.790447e-12,1.768426e-13
3800.0,2.172202e-12,1.972069e-13
3820.0,2.508193e-12,1.934525e-13
3840.0,2.683061e-12,1.969146e-13
3860.0,2.742160e-12,1.892117e-13
3880.0,2.791787e-12,1.674893e-13
3900.0,2.839395e-12,1.590628e-13
3920.0,2.833059e-12,1.413257e-13
3940.0,2.742339e-12,1.253882e-13
3960.0,2.635342e-12,1.209571e-13
3980.0,2.606965e-12,1.089645e-13
4000.0,2.683094e-12,1.002137e-13
4020.0,2.811599e-12,9.998641e-14
4040.0,2.869256e-12,9.178552e-14
4060.0,2.796381e-12,8.458622e-14
4080.0,2.618134e-12,8.609840e-14
4100.0,2.427233e-12,8.142281e-14
4120.0,2.323945e-12,7.333451e-14
4140.0,2.362669e-12,7.498928e-14
4160.0,2.499976e-12,7.525012e-14
4180.0,2.653371e-12,6.715307e-14
4200.0,2.740599e-12,6.387528e-14
4220.0,2.720533e-12,6.755649e-14
4240.0,2.606522e-12,6.465098e-14
4260.0,2.450413e-12,5.648060e-14
4280.0,2.295128e-12,5.517133e-14
4300.0,2.178705e-12,5.817295e-14
4320.0,2.108927e-12,5.542341e-14
4340.0,2.078235e-12,4.924794e-14
4360.0,2.080948e-12,4.798617e-14
4380.0,2.110923e-12,4.989004e-14
4400.0,2.151212e-12,4.821985e-14
4420.0,2.192329e-12,4.363879e-14
4440.0,2.222543e-12,4.138388e-14
4460.0,2.233272e-12,4.223817e-14
4480.0,2.219993e-12,4.210482e-14
4500.0,2.184268e-12,3.936194e-14
4520.0,2.136357e-12,3.636872e-14
4540.0,2.088176e-12,3.560908e-14
4560.0,2.047730e-12,3.613493e-14
4580.0,2.023342e-12,3.560887e-14
4600.0,2.009998e-12,3.339642e-14
4620.0,2.004538e-12,3.107491e-14
4640.0,1.998951e-12,3.026521e-14
4660.0,1.983187e-12,3.051071e-14
4680.0,1.960286e-12,3.022096e-14
4700.0,1.922729e-12,2.853312e-14
4720.0,1.875830e-12,2.638665e-14
4740.0,1.823143e-12,2.526270e-14
4760.0,1.766790e-12,2.535933e-14
4780.0,1.709825e-12,2.541699e-14
4800.0,1.658463e-12,2.446588e-14
4820.0,1.609832e-12,2.267678e-14
4840.0,1.571600e-12,2.128758e-14
4860.0,1.540249e-12,2.098947e-14
4880.0,1.521225e-12,2.128881e-14
4900.0,1.514618e-12,2.113384e-14
4920.0,1.519705e-12,2.015666e-14
4940.0,1.530621e-12,1.883260e-14
4960.0,1.544009e-12,1.800170e-14
4980.0,1.558010e-12,1.794367e-14
5000.0,1.567937e-12,1.809806e-14
5020.0,1.564811e-12,1.775272e-14
5040.0,1.554825e-12,1.686840e-14
5060.0,1.534220e-12,1.581162e-14
5080.0,1.507084e-12,1.515603e-14
5100.0,1.477832e-12,1.506528e-14
5120.0,1.448329e-12,1.515729e-14
5140.0,1.422941e-12,1.499439e-14
5160.0,1.403549e-12,1.442887e-14
5180.0,1.389992e-12,1.366062e-14
5200.0,1.378706e-12,1.302592e-14
5220.0,1.372426e-12,1.277703e-14
5240.0,1.367470e-12,1.278590e-14
5260.0,1.359646e-12,1.274577e-14
5280.0,1.349257e-12,1.247474e-14
5300.0,1.335451e-12,1.198325e-14
5320.0,1.315037e-12,1.142313e-14
5340.0,1.291566e-12,1.102552e-14
5360.0,1.268715e-12,1.088234e-14
5380.0,1.245481e-12,1.086552e-14
5400.0,1.222622e-12,1.078966e-14
5420.0,1.203920e-12,1.056232e-14
5440.0,1.190174e-12,1.019239e-14
5460.0,1.177174e-12,9.752098e-15
5480.0,1.167666e-12,9.404263e-15
5500.0,1.160645e-12,9.220111e-15
5520.0,1.155465e-12,9.171402e-15
5540.0,1.146810e-12,9.124657e-15
5560.0,1.139165e-12,9.028319e-15
5580.0,1.129474e-12,8.825509e-15
5600.0,1.116777e-12,8.539749e-15
5620.0,1.102242e-12,8.251169e-15
5640.0,1.086778e-12,8.035726e-15
5660.0,1.071502e-12,7.928739e-15
5680.0,1.056148e-12,7.898335e-15
5700.0,1.043931e-12,7.901892e-15
5720.0,1.034487e-12,7.870969e-15
5740.0,1.023278e-12,7.735340e-15
5760.0,1.011980e-12,7.513739e-15
5780.0,9.981922e-13,7.228494e-15
5800.0,9.846787e-13,6.952360e-15
5820.0,9.692310e-13,6.708641e-15
5840.0,9.514120e-13,6.504504e-15
5860.0,9.368128e-13,6.360123e-15
5880.0,9.231654e-13,6.229665e-15
5900.0,9.124419e-13,6.101469e-15
5920.0,9.066946e-13,5.978925e-15
5940.0,8.990925e-13,5.823243e-15
5960.0,8.923233e-13,5.671214e-15
5980.0,8.890071e-13,5.561714e-15
6000.0,8.862716e-13,5.493266e-15
6020.0,8.831987e-13,5.464468e-15
6040.0,8.773130e-13,5.449285e-15
6060.0,8.697644e-13,5.433320e-15
6080.0,8.597185e-13,5.387842e-15
6100.0,8.485607e-13,5.304738e-15
6120.0,8.370284e-13,5.183791e-15
6140.0,8.251333e-13,5.032664e-15
6160.0,8.131517e-13,4.869494e-15
6180.0,8.027352e-13,4.722843e-15
6200.0,7.904661e-13,4.586695e-15
6220.0,7.812932e-13,4.494635e-15
6240.0,7.777614e-13,4.455578e-15
6260.0,7.746253e-13,4.427446e-15
6280.0,7.730840e-13,4.403745e-15
6300.0,7.725816e-13,4.370913e-15
6320.0,7.707677e-13,4.311308e-15
6340.0,7.695587e-13,4.238619e-15
6360.0,7.701215e-13,3.886946e-15
6380.0,7.564060e-13,4.746731e-15
6400.0,7.310528e-13,6.655972e-15
6420.0,7.196975e-13,1.002114e-14
6440.0,7.212941e-13,1.216505e-14
6460.0,7.291905e-13,1.141089e-14
6480.0,7.300746e-13,1.090956e-14
6500.0,7.131132e-13,1.144446e-14
6520.0,6.762022e-13,1.117481e-14
6540.0,6.324623e-13,1.006571e-14
6560.0,6.012009e-13,1.006208e-14
6580.0,5.967365e-13,1.058121e-14
6600.0,6.190634e-13,9.884266e-15
6620.0,6.534693e-13,8.991704e-15
6640.0,6.804399e-13,9.388994e-15
6660.0,6.868112e-13,9.527334e-15
6680.0,6.744213e-13,8.522296e-15
6700.0,6.537640e-13,8.061768e-15
6720.0,6.359266e-13,8.645375e-15
6740.0,6.278962e-13,8.434266e-15
6760.0,6.307660e-13,7.465410e-15
6780.0,6.349023e-13,7.477218e-15
6800.0,6.339333e-13,8.010832e-15
6820.0,6.256502e-13,7.508042e-15
6840.0,6.120592e-13,6.704970e-15
6860.0,5.994051e-13,7.092191e-15
6880.0,5.927371e-13,7.509493e-15
6900.0,5.918854e-13,6.839649e-15
6920.0,5.923790e-13,6.257945e-15
6940.0,5.921566e-13,6.814970e-15
6960.0,5.864123e-13,7.066717e-15
6980.0,5.767151e-13,6.350855e-15
7000.0,5.661838e-13,5.995608e-15
7020.0,5.604105e-13,6.634681e-15
7040.0,5.575438e-13,6.780028e-15
7060.0,5.573381e-13,6.031418e-15
7080.0,5.569464e-13,5.723715e-15
7100.0,5.513261e-13,6.335442e-15
7120.0,5.411344e-13,6.507523e-15
7140.0,5.291549e-13,5.844818e-15
7160.0,5.196831e-13,5.524537e-15
7180.0,5.149334e-13,6.073725e-15
7200.0,5.139700e-13,6.291882e-15
7220.0,5.169797e-13,5.743934e-15
7240.0,5.172306e-13,5.362427e-15
7260.0,5.134935e-13,5.803448e-15
7280.0,5.067550e-13,6.107615e-15
7300.0,4.969174e-13,5.641488e-15
7320.0,4.871904e-13,5.124872e-15
7340.0,4.812821e-13,5.414644e-15
7360.0,4.806489e-13,5.851916e-15
7380.0,4.819092e-13,5.598116e-15
7400.0,4.826689e-13,4.999993e-15
7420.0,4.808280e-13,5.041609e-15
7440.0,4.742025e-13,5.574326e-15
7460.0,4.644664e-13,5.639240e-15
7480.0,4.538403e-13,5.074416e-15
7500.0,4.467587e-13,4.740456e-15
7520.0,4.430982e-13,5.169702e-15
7540.0,4.444672e-13,5.593938e-15
7560.0,4.468036e-13,5.307993e-15
7580.0,4.489667e-13,4.673454e-15
7600.0,4.483206e-13,4.656225e-15
7620.0,4.426139e-13,5.250499e-15
7640.0,4.339130e-13,5.497321e-15
7660.0,4.246858e-13,5.018783e-15
7680.0,4.169999e-13,4.421940e-15
7700.0,4.135397e-13,4.647528e-15
7720.0,4.125967e-13,5.316331e-15
7740.0,4.135914e-13,5.451943e-15
7760.0,4.151624e-13,4.853645e-15
7780.0,4.147709e-13,4.272867e-15
7800.0,4.111442e-13,4.627845e-15
7820.0,4.036338e-13,5.358718e-15
7840.0,3.959113e-13,5.488573e-15
7860.0,3.881885e-13,4.823252e-15
7880.0,3.824444e-13,4.166386e-15
7900.0,3.799292e-13,4.526279e-15
7920.0,3.799324e-13,5.335770e-15
7940.0,3.817763e-13,5.529477e-15
7960.0,3.833797e-13,4.864177e-15
7980.0,3.823746e-13,4.042279e-15
8000.0,3.791333e-13,4.223110e-15
8020.0,3.728311e-13,5.080206e-15
8040.0,3.647968e-13,5.454116e-15
8060.0,3.576074e-13,4.947658e-15
8080.0,3.513833e-13,4.024103e-15
8100.0,3.473402e-13,3.864931e-15
8120.0,3.459500e-13,4.686649e-15
8140.0,3.452693e-13,5.316830e-15
8160.0,3.470937e-13,5.132841e-15
8180.0,3.474891e-13,4.257503e-15
8200.0,3.470849e-13,3.663257e-15
8220.0,3.439678e-13,4.177849e-15
8240.0,3.392553e-13,5.024841e-15
8260.0,3.342602e-13,5.257850e-15
8280.0,3.288587e-13,4.666455e-15
8300.0,3.238411e-13,3.795266e-15
8320.0,3.202440e-13,3.719118e-15
8340.0,3.174052e-13,4.511947e-15
8360.0,3.160997e-13,5.146098e-15
8380.0,3.165572e-13,5.050182e-15
8400.0,3.160250e-13,4.287154e-15
8420.0,3.156087e-13,3.622533e-15
8440.0,3.128923e-13,3.882837e-15
8460.0,3.117566e-13,4.695929e-15
8480.0,3.098435e-13,5.125659e-15
8500.0,3.077419e-13,4.830320e-15
8520.0,3.046039e-13,4.045540e-15
8540.0,3.025027e-13,3.587926e-15
8560.0,3.009126e-13,4.029046e-15
8580.0,3.004467e-13,4.780048e-15
8600.0,2.997949e-13,5.074609e-15
8620.0,2.992282e-13,4.699371e-15
8640.0,2.995037e-13,3.969716e-15
8660.0,2.998877e-13,3.616602e-15
8680.0,3.020747e-13,4.104904e-15
8700.0,3.006818e-13,4.778105e-15
8720.0,3.017642e-13,5.064742e-15
8740.0,3.011837e-13,4.713510e-15
8760.0,3.009395e-13,4.032167e-15
8780.0,3.004045e-13,3.670428e-15
8800.0,3.011043e-13,4.079132e-15
8820.0,2.995470e-13,4.745456e-15
8840.0,2.975168e-13,5.068423e-15
8860.0,2.948548e-13,4.816455e-15
8880.0,2.926626e-13,4.189809e-15
8900.0,2.912468e-13,3.739184e-15
8920.0,2.896762e-13,3.958513e-15
8940.0,2.884245e-13,4.591108e-15
8960.0,2.890284e-13,5.057641e-15
8980.0,2.887257e-13,4.998693e-15
9000.0,2.892575e-13,4.500907e-15
9020.0,2.895712e-13,3.952311e-15
9040.0,2.883139e-13,3.903547e-15
9060.0,2.860389e-13,4.431518e-15
9080.0,2.844933e-13,5.045010e-15
9100.0,2.802446e-13,5.244491e-15
9120.0,2.759171e-13,4.954053e-15
9140.0,2.721435e-13,4.387792e-15
9160.0,2.690119e-13,4.030931e-15
9180.0,2.647766e-13,4.256964e-15
9200.0,2.631333e-13,4.888779e-15
9220.0,2.646635e-13,5.421022e-15
9240.0,2.647716e-13,5.449298e-15
9260.0,2.659024e-13,5.021663e-15
9280.0,2.693926e-13,4.469219e-15
9300.0,2.707854e-13,4.248094e-15
9320.0,2.710036e-13,4.660843e-15
9340.0,2.708478e-13,5.372981e-15
9360.0,2.688899e-13,5.861493e-15
9380.0,2.656460e-13,5.868776e-15
9400.0,2.596217e-13,5.378074e-15
9420.0,2.527639e-13,4.748272e-15
9440.0,2.486128e-13,4.584388e-15
9460.0,2.411316e-13,5.049389e-15
9480.0,2.356774e-13,5.850652e-15
9500.0,2.342540e-13,6.501389e-15
9520.0,2.311417e-13,6.538096e-15
9540.0,2.310488e-13,6.078952e-15
9560.0,2.340643e-13,5.426746e-15
9580.0,2.361681e-13,5.083713e-15
9600.0,2.391728e-13,5.553556e-15
9620.0,2.418467e-13,6.537466e-15
9640.0,2.442545e-13,7.438510e-15
9660.0,2.427400e-13,7.732881e-15
9680.0,2.415220e-13,7.428041e-15
9700.0,2.395611e-13,6.676032e-15
9720.0,2.328834e-13,5.928714e-15
9740.0,2.292369e-13,6.129055e-15
9760.0,2.237496e-13,7.231032e-15
9780.0,2.165561e-13,8.506522e-15
9800.0,2.148289e-13,9.545937e-15
