wavelength_A_vacuum,flam,flam_err
3360.0,1.228362e-11,1.137794e-12
3380.0,1.127272e-11,9.417198e-13
3400.0,9.825466e-12,8.355389e-13
3420.0,9.127692e-12,7.866426e-13
3440.0,9.645012e-12,7.869735e-13
3460.0,1.016963e-11,8.282378e-13
3480.0,9.738114e-12,8.922610e-13
3500.0,8.973124e-12,9.880548e-13
3520.0,9.518892e-12,1.113251e-12
3540.0,1.090002e-11,1.213462e-12
3560.0,1.068231e-11,1.209219e-12
3580.0,9.411891e-12,1.097705e-12
3600.0,9.279983e-12,1.064034e-12
3620.0,9.819783e-12,1.059019e-12
3640.0,9.601007e-12,1.104684e-12
3660.0,8.429740e-12,1.184857e-12
3680.0,7.764133e-12,1.287617e-12
3700.0,8.777121e-12,1.429622e-12
3720.0,1.063502e-11,1.529977e-12
3740.0,1.174568e-11,1.723106e-12
3760.0,1.221186e-11,1.853356e-12
3780.0,1.403881e-11,2.065125e-12
3800.0,1.791849e-11,2.285414e-12
3820.0,2.170676e-11,2.302401e-12
3840.0,2.319369e-11,2.378446e-12
3860.0,2.284335e-11,2.275827e-12
3880.0,2.272599e-11,2.095186e-12
3900.0,2.355488e-11,1.996403e-12
3920.0,2.442851e-11,1.785844e-12
3940.0,2.430392e-11,1.635352e-12
3960.0,2.344611e-11,1.577362e-12
3980.0,2.293046e-11,1.442952e-12
4000.0,2.342264e-11,1.361697e-12
4020.0,2.468552e-11,1.364436e-12
4040.0,2.552447e-11,1.283331e-12
4060.0,2.515958e-11,1.195144e-12
4080.0,2.368136e-11,1.194704e-12
4100.0,2.199725e-11,1.165685e-12
4120.0,2.118733e-11,1.087800e-12
4140.0,2.183591e-11,1.066762e-12
4160.0,2.345933e-11,1.066143e-12
4180.0,2.510206e-11,1.015143e-12
4200.0,2.585431e-11,9.671623e-13
4220.0,2.535261e-11,9.661321e-13
4240.0,2.390559e-11,9.486941e-13
4260.0,2.222659e-11,8.879384e-13
4280.0,2.084976e-11,8.389573e-13
4300.0,2.008849e-11,8.306923e-13
4320.0,1.983944e-11,8.142146e-13
4340.0,1.982932e-11,7.662536e-13
4360.0,1.989054e-11,7.253593e-13
4380.0,1.998813e-11,7.158942e-13
4400.0,2.008980e-11,7.040427e-13
4420.0,2.026142e-11,6.639768e-13
4440.0,2.049357e-11,6.171424e-13
4460.0,2.071229e-11,5.981031e-13
4480.0,2.080121e-11,5.976810e-13
4500.0,2.066955e-11,5.810432e-13
4520.0,2.033189e-11,5.430020e-13
4540.0,1.987652e-11,5.111461e-13
4560.0,1.941405e-11,5.022080e-13
4580.0,1.909175e-11,4.974888e-13
4600.0,1.892692e-11,4.734632e-13
4620.0,1.892136e-11,4.373988e-13
4640.0,1.898793e-11,4.140430e-13
