wavelength_A_vacuum,flam,flam_err
3360.0,9.240505e-13,4.514983e-14
3380.0,8.975738e-13,3.526354e-14
3400.0,8.388119e-13,3.046941e-14
3420.0,7.787227e-13,2.750845e-14
3440.0,7.562081e-13,2.718537e-14
3460.0,7.460197e-13,2.751786e-14
3480.0,7.279132e-13,3.011766e-14
3500.0,7.071183e-13,3.257561e-14
3520.0,7.164089e-13,3.709246e-14
3540.0,7.298964e-13,4.028884e-14
3560.0,7.003015e-13,4.053720e-14
3580.0,6.793493e-13,3.579323e-14
3600.0,7.077868e-13,3.512343e-14
3620.0,7.099012e-13,3.457873e-14
3640.0,6.500284e-13,3.570838e-14
3660.0,5.861437e-13,3.869579e-14
3680.0,5.946022e-13,4.082103e-14
3700.0,6.721155e-13,4.653889e-14
3720.0,7.554515e-13,4.800460e-14
3740.0,8.289322e-13,5.447531e-14
3760.0,9.518363e-13,5.895470e-14
3780.0,1.182005e-12,6.305912e-14
3800.0,1.453488e-12,7.071745e-14
3820.0,1.640744e-12,6.955439e-14
3840.0,1.729114e-12,7.116519e-14
3860.0,1.795912e-12,6.843778e-14
3880.0,1.877737e-12,6.072255e-14
3900.0,1.925049e-12,5.776733e-14
3920.0,1.902777e-12,5.158570e-14
3940.0,1.831422e-12,4.579479e-14
3960.0,1.783813e-12,4.404611e-14
3980.0,1.809849e-12,4.015501e-14
4000.0,1.890252e-12,3.681315e-14
4020.0,1.967908e-12,3.637377e-14
4040.0,1.971100e-12,3.431948e-14
4060.0,1.893678e-12,3.181217e-14
4080.0,1.778843e-12,3.121103e-14
4100.0,1.687189e-12,3.028962e-14
4120.0,1.659919e-12,2.857752e-14
4140.0,1.705930e-12,2.774002e-14
4160.0,1.786895e-12,2.730313e-14
4180.0,1.862276e-12,2.658531e-14
4200.0,1.901753e-12,2.560458e-14
4220.0,1.893489e-12,2.444596e-14
4240.0,1.842459e-12,2.380811e-14
4260.0,1.764357e-12,2.374874e-14
